# Language, Country,   Region, Date,         Description,                   Type, Notes.
  "at",     "Austria", ,       "2011-01-01", "Neujahr",                     "N",
  "at",     "Austria", ,       "2011-01-06", "Heilige drei KÃ¶nige",        "N",
  "at",     "Austria", ,       "2011-03-19", "Josef (K, St, T, V)",         "N",
  "at",     "Austria", ,       "2011-04-22", "Karfreitag",                  "N",
  "at",     "Austria", ,       "2011-04-24", "Ostersonntag",                "N",
  "at",     "Austria", ,       "2011-04-25", "Ostermontag",                 "N",
  "at",     "Austria", ,       "2011-05-01", "Staatsfeiertag",              "N",
  "at",     "Austria", ,       "2011-05-04", "Florian (OÃ)",            "N",
  "at",     "Austria", ,       "2011-06-02", "Christi Himmelfahrt",         "N",
  "at",     "Austria", ,       "2011-06-12", "Pfingstsonntag",              "N",
  "at",     "Austria", ,       "2011-06-13", "Pfingstmontag",               "N",
  "at",     "Austria", ,       "2011-06-23", "Fronleichnam",                "N",
  "at",     "Austria", ,       "2011-08-15", "MariÃ€ Himmelfahrt",          "N",
  "at",     "Austria", ,       "2011-09-24", "Rupert (S)",                  "N",
  "at",     "Austria", ,       "2011-10-10", "Tag der Volksabstimmung (K)", "N",
  "at",     "Austria", ,       "2011-11-01", "Allerheiligen",               "N",
  "at",     "Austria", ,       "2011-11-11", "Martin (B)",                  "N",
  "at",     "Austria", ,       "2011-11-15", "Leopold (W, NÃ)",         "N",
  "at",     "Austria", ,       "2011-12-08", "MariÃ€ EmpfÃ€ngnis",          "N",
  "at",     "Austria", ,       "2011-12-24", "Heiliger Abend",              "N",
  "at",     "Austria", ,       "2011-12-25", "Christtag",                   "N",
  "at",     "Austria", ,       "2011-12-26", "Stefanitag",                  "N",
  "at",     "Austria", ,       "2011-12-31", "Silvester",                   "N",

