# Locale,  Region, Date,         Description,          Type, Notes.

"nl-BE", "", "2012-01-01", "Nieuwjaar",                   "NF",  ""
"nl-BE", "", "2012-04-08", "Pasen",                       "NRV", ""
"nl-BE", "", "2012-04-09", "Paasmaandag",                 "NRV", ""
"nl-BE", "", "2012-05-01", "Dag van de arbeid",           "NF",  ""
"nl-BE", "", "2012-05-17", "Onze Lieve Heer hemelvaart",  "NRV", ""
"nl-BE", "", "2012-05-27", "Pinksteren",                  "NRV", ""
"nl-BE", "", "2012-05-28", "Pinkstermaandag",             "NRV", ""
"nl-BE", "", "2012-07-21", "Nationale feestdag",          "NF",  ""
"nl-BE", "", "2012-08-15", "Onze Lieve Vrouw hemelvaart", "NRF", ""
"nl-BE", "", "2012-11-01", "Allerheiligen",               "NRF", ""
"nl-BE", "", "2012-11-11", "Wapenstilstand",              "NF",  ""
"nl-BE", "", "2012-12-25", "Kerstmis",                    "NRF", ""

"nl-BE", "", "2013-01-01", "Nieuwjaar",                   "NF",  ""
"nl-BE", "", "2013-03-31", "Pasen",                       "NRV", ""
"nl-BE", "", "2013-04-01", "Paasmaandag",                 "NRV", ""
"nl-BE", "", "2013-05-01", "Dag van de arbeid",           "NF",  ""
"nl-BE", "", "2013-05-09", "Onze Lieve Heer hemelvaart",  "NRV", ""
"nl-BE", "", "2013-05-19", "Pinksteren",                  "NRV", ""
"nl-BE", "", "2013-05-20", "Pinkstermaandag",             "NRV", ""
"nl-BE", "", "2013-07-21", "Nationale feestdag",          "NF",  ""
"nl-BE", "", "2013-08-15", "Onze Lieve Vrouw hemelvaart", "NRF", ""
"nl-BE", "", "2013-11-01", "Allerheiligen",               "NRF", ""
"nl-BE", "", "2013-11-11", "Wapenstilstand",              "NF",  ""
"nl-BE", "", "2013-12-25", "Kerstmis",                    "NRF", ""

"nl-BE", "", "2014-01-01", "Nieuwjaar",                   "NF",  ""
"nl-BE", "", "2014-04-20", "Pasen",                       "NRV", ""
"nl-BE", "", "2014-04-21", "Paasmaandag",                 "NRV", ""
"nl-BE", "", "2014-05-01", "Dag van de arbeid",           "NF",  ""
"nl-BE", "", "2014-05-29", "Onze Lieve Heer hemelvaart",  "NRV", ""
"nl-BE", "", "2014-06-08", "Pinksteren",                  "NRV", ""
"nl-BE", "", "2014-06-09", "Pinkstermaandag",             "NRV", ""
"nl-BE", "", "2014-07-21", "Nationale feestdag",          "NF",  ""
"nl-BE", "", "2014-08-15", "Onze Lieve Vrouw hemelvaart", "NRF", ""
"nl-BE", "", "2014-11-01", "Allerheiligen",               "NRF", ""
"nl-BE", "", "2014-11-11", "Wapenstilstand",              "NF",  ""
"nl-BE", "", "2014-12-25", "Kerstmis",                    "NRF", ""

"nl-BE", "", "2015-01-01", "Nieuwjaar",                   "NF",  ""
"nl-BE", "", "2015-04-05", "Pasen",                       "NRV", ""
"nl-BE", "", "2015-04-06", "Paasmaandag",                 "NRV", ""
"nl-BE", "", "2015-05-01", "Dag van de arbeid",           "NF",  ""
"nl-BE", "", "2015-05-14", "Onze Lieve Heer hemelvaart",  "NRV", ""
