# Locale,  Region, Date,         Description,                    Type, Notes.
  "pt-BR", "",     "2012-01-01", "Confraternização Universal",   "NF",  ""
  "pt-BR", "",     "2012-02-20", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2012-02-21", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2012-04-06", "Sexta-feira Santa",            "NRV", ""
  "pt-BR", "",     "2012-04-08", "Páscoa",                       "NRV", ""
  "pt-BR", "",     "2012-04-21", "Tiradentes",                   "NF",  ""
  "pt-BR", "",     "2012-05-01", "Dia do Trabalho",              "NF",  ""
  "pt-BR", "",     "2012-06-07", "Corpus Christi",               "NRV", ""
  "pt-BR", "",     "2012-09-07", "Independência do Brasil",      "NF",  ""
  "pt-BR", "",     "2012-10-12", "Nossa Senhora Aparecida",      "NRF", ""
  "pt-BR", "",     "2012-11-02", "Finados",                      "NRF", ""
  "pt-BR", "",     "2012-11-15", "Proclamação da República",     "NF", ""
  "pt-BR", "",     "2012-12-25", "Natal",                        "NRF",  ""

  "pt-BR", "",     "2013-01-01", "Confraternização Universal",   "NF",  ""
  "pt-BR", "",     "2013-02-11", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2013-02-12", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2013-03-29", "Sexta-feira Santa",            "NRV", ""
  "pt-BR", "",     "2013-03-31", "Páscoa",                       "NRV", ""
  "pt-BR", "",     "2013-04-21", "Tiradentes",                   "NF",  ""
  "pt-BR", "",     "2013-05-01", "Dia do Trabalho",              "NF",  ""
  "pt-BR", "",     "2013-05-30", "Corpus Christi",               "NRV", ""
  "pt-BR", "",     "2013-09-07", "Independência do Brasil",      "NF",  ""
  "pt-BR", "",     "2013-10-12", "Nossa Senhora Aparecida",      "NRF", ""
  "pt-BR", "",     "2013-11-02", "Finados",                      "NRF", ""
  "pt-BR", "",     "2013-11-15", "Proclamação da República",     "NF", ""
  "pt-BR", "",     "2013-12-25", "Natal",                        "NRF",  ""

  "pt-BR", "",     "2014-01-01", "Confraternização Universal",   "NF",  ""
  "pt-BR", "",     "2014-03-03", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2014-03-04", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2014-04-18", "Sexta-feira Santa",            "NRV", ""
  "pt-BR", "",     "2014-04-20", "Páscoa",                       "NRV", ""
  "pt-BR", "",     "2014-04-21", "Tiradentes",                   "NF",  ""
  "pt-BR", "",     "2014-05-01", "Dia do Trabalho",              "NF",  ""
  "pt-BR", "",     "2014-06-19", "Corpus Christi",               "NRV", ""
  "pt-BR", "",     "2014-09-07", "Independência do Brasil",      "NF",  ""
  "pt-BR", "",     "2014-10-12", "Nossa Senhora Aparecida",      "NRF", ""
  "pt-BR", "",     "2014-11-02", "Finados",                      "NRF", ""
  "pt-BR", "",     "2014-11-15", "Proclamação da República",     "NF", ""
  "pt-BR", "",     "2014-12-25", "Natal",                        "NRF",  ""

  "pt-BR", "",     "2015-01-01", "Confraternização Universal",   "NF",  ""
  "pt-BR", "",     "2015-02-16", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2015-02-17", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2015-04-03", "Sexta-feira Santa",            "NRV", ""
  "pt-BR", "",     "2015-04-05", "Páscoa",                       "NRV", ""
  "pt-BR", "",     "2015-04-21", "Tiradentes",                   "NF",  ""
  "pt-BR", "",     "2015-05-01", "Dia do Trabalho",              "NF",  ""
  "pt-BR", "",     "2015-06-04", "Corpus Christi",               "NRV", ""
  "pt-BR", "",     "2015-09-07", "Independência do Brasil",      "NF",  ""
  "pt-BR", "",     "2015-10-12", "Nossa Senhora Aparecida",      "NRF", ""
  "pt-BR", "",     "2015-11-02", "Finados",                      "NRF", ""
  "pt-BR", "",     "2015-11-15", "Proclamação da República",     "NF", ""
  "pt-BR", "",     "2015-12-25", "Natal",                        "NRF",  ""

  "pt-BR", "",     "2016-01-01", "Confraternização Universal",   "NF",  ""
  "pt-BR", "",     "2016-02-08", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2016-02-09", "Carnaval",                     "NRV", ""
  "pt-BR", "",     "2016-03-25", "Sexta-feira Santa",            "NRV", ""
  "pt-BR", "",     "2016-03-27", "Páscoa",                       "NRV", ""
  "pt-BR", "",     "2016-04-21", "Tiradentes",                   "NF",  ""
  "pt-BR", "",     "2016-05-01", "Dia do Trabalho",              "NF",  ""
  "pt-BR", "",     "2016-05-26", "Corpus Christi",               "NRV", ""
  "pt-BR", "",     "2016-09-07", "Independência do Brasil",      "NF",  ""
  "pt-BR", "",     "2016-10-12", "Nossa Senhora Aparecida",      "NRF", ""
  "pt-BR", "",     "2016-11-02", "Finados",                      "NRF", ""
  "pt-BR", "",     "2016-11-15", "Proclamação da República",     "NF", ""
  "pt-BR", "",     "2016-12-25", "Natal",                        "NRF",  ""

