# Locale,  Region, Date,         Description,                            Type,  Notes.
"be-BY", "", "2011-01-01", "Новы Год",                             "NF",  ""
"be-BY", "", "2011-01-07", "Раство Хрыстова(праваслаўнае)",        "NRF", ""
"be-BY", "", "2011-08-03", "Міжнародны жаночы дзень",              "NF",  ""
"be-BY", "", "2011-04-24", "Пасха(праваслаўная)",                  "NRV", ""
"be-BY", "", "2011-05-01", "Свята працы",                          "NF",  ""
"be-BY", "", "2011-05-03", "Радуніца",                             "NRV", ""
"be-BY", "", "2011-05-09", "Дзень Перамогі",                       "NF",  ""
"be-BY", "", "2011-07-03", "Дзень незалежнаці",                    "NF",  ""
"be-BY", "", "2011-11-07", "Дзень Кастрычніцкай рэвалюцыі",        "NF",  ""
"be-BY", "", "2011-12-25", "Раство Хрыстова(у заходніх хрысціян)", "NRF", ""

"be-BY", "", "2012-01-01", "Новы Год",                             "NF",  ""
"be-BY", "", "2012-01-07", "Раство Хрыстова(праваслаўнае)",        "NRF", ""
"be-BY", "", "2012-08-03", "Міжнародны жаночы дзень",              "NF",  ""
"be-BY", "", "2012-04-15", "Пасха(праваслаўная)",                  "NRV", ""
"be-BY", "", "2012-04-24", "Радуніца",                             "NRV", ""
"be-BY", "", "2012-05-01", "Свята працы",                          "NF",  ""
"be-BY", "", "2012-05-09", "Дзень Перамогі",                       "NF",  ""
"be-BY", "", "2012-07-03", "Дзень незалежнаці",                    "NF",  ""
"be-BY", "", "2012-11-07", "Дзень Кастрычніцкай рэвалюцыі",        "NF",  ""
"be-BY", "", "2012-12-25", "Раство Хрыстова(у заходніх хрысціян)", "NRF", ""

"be-BY", "", "2013-01-01", "Новы Год",                             "NF",  ""
"be-BY", "", "2013-01-07", "Раство Хрыстова(праваслаўнае)",        "NRF", ""
"be-BY", "", "2013-08-03", "Міжнародны жаночы дзень",              "NF",  ""
"be-BY", "", "2013-05-05", "Пасха(праваслаўная)",                  "NRV", ""
"be-BY", "", "2013-05-14", "Радуніца",                             "NRV", ""
"be-BY", "", "2013-05-01", "Свята працы",                          "NF",  ""
"be-BY", "", "2013-05-09", "Дзень Перамогі",                       "NF",  ""
"be-BY", "", "2013-07-03", "Дзень незалежнаці",                    "NF",  ""
"be-BY", "", "2013-11-07", "Дзень Кастрычніцкай рэвалюцыі",        "NF",  ""
"be-BY", "", "2013-12-25", "Раство Хрыстова(у заходніх хрысціян)", "NRF", ""

"be-BY", "", "2014-01-01", "Новы Год",                             "NF",  ""
"be-BY", "", "2014-01-07", "Раство Хрыстова(праваслаўнае)",        "NRF", ""
"be-BY", "", "2014-08-03", "Міжнародны жаночы дзень",              "NF",  ""
"be-BY", "", "2014-04-20", "Пасха(праваслаўная)",                  "NRV", ""
"be-BY", "", "2014-04-29", "Радуніца",                             "NRV", ""
"be-BY", "", "2014-05-01", "Свята працы",                          "NF",  ""
"be-BY", "", "2014-05-09", "Дзень Перамогі",                       "NF",  ""
"be-BY", "", "2014-07-03", "Дзень незалежнаці",                    "NF",  ""
"be-BY", "", "2014-11-07", "Дзень Кастрычніцкай рэвалюцыі",        "NF",  ""
"be-BY", "", "2014-12-25", "Раство Хрыстова(у заходніх хрысціян)", "NRF", ""

"be-BY", "", "2015-01-01", "Новы Год",                             "NF",  ""
"be-BY", "", "2015-01-07", "Раство Хрыстова(праваслаўнае)",        "NRF", ""
"be-BY", "", "2015-08-03", "Міжнародны жаночы дзень",              "NF",  ""
"be-BY", "", "2015-04-20", "Пасха(праваслаўная)",                  "NRV", ""
"be-BY", "", "2015-04-21", "Радуніца",                             "NRV", ""
"be-BY", "", "2015-05-01", "Свята працы",                          "NF",  ""
"be-BY", "", "2015-05-09", "Дзень Перамогі",                       "NF",  ""
"be-BY", "", "2015-07-03", "Дзень незалежнаці",                    "NF",  ""
"be-BY", "", "2015-11-07", "Дзень Кастрычніцкай рэвалюцыі",        "NF",  ""
"be-BY", "", "2015-12-25", "Раство Хрыстова(у заходніх хрысціян)", "NRF", ""

"be-BY", "", "2016-01-01", "Новы Год",                             "NF",  ""
"be-BY", "", "2016-01-07", "Раство Хрыстова(праваслаўнае)",        "NRF", ""
"be-BY", "", "2016-08-03", "Міжнародны жаночы дзень",              "NF",  ""
"be-BY", "", "2016-03-27", "Пасха(праваслаўная)",                  "NRV", ""
"be-BY", "", "2016-05-10", "Радуніца",                             "NRV", ""
"be-BY", "", "2016-05-01", "Свята працы",                          "NF",  ""
"be-BY", "", "2016-05-09", "Дзень Перамогі",                       "NF",  ""
"be-BY", "", "2016-07-03", "Дзень незалежнаці",                    "NF",  ""
"be-BY", "", "2016-11-07", "Дзень Кастрычніцкай рэвалюцыі",        "NF",  ""
"be-BY", "", "2016-12-25", "Раство Хрыстова(у заходніх хрысціян)", "NRF", ""
