# Locale,  Region, Date,         Description,              Type, Notes.
  "en-CA", "",     "2011-01-01", "New Year's Day",         "NF",  ""
  "en-CA", "",     "2011-02-21", "Family Day",             "N",   "3rd monday in Feb."
  "en-CA", "",     "2011-04-22", "Good Friday",            "NRV", ""
  "en-CA", "",     "2011-04-25", "Easter Monday",          "NRV", ""
  "en-CA", "",     "2011-05-24", "Victoria Day",           "NV",  ""
  "en-CA", "",     "2011-07-01", "Canada Day",             "NV",  ""
  "en-CA", "",     "2011-08-01", "First Monday of August", "NV",  ""
  "en-CA", "",     "2011-09-05", "Labour Day",             "NV",  ""
  "en-CA", "",     "2011-10-10", "Thanksgiving Day",       "NV",  ""
  "en-CA", "",     "2011-11-11", "Remembrance Day",        "NF",  ""
  "en-CA", "",     "2011-12-25", "Christmas Day",          "NRF", ""
  "en-CA", "",     "2011-12-26", "Boxing Day",             "NF",  ""
  "en-CA", "",     "2011-12-31", "New Year's Eve",         "NF",  ""

  "en-CA", "",     "2012-01-01", "New Year's Day",         "NF",  ""
  "en-CA", "",     "2012-01-02", "New Year's Day (obs.)",  "NV",  ""
  "en-CA", "",     "2012-02-20", "Family Day",             "N",   "3rd monday in Feb."
  "en-CA", "",     "2012-04-06", "Good Friday",            "NRV", ""
  "en-CA", "",     "2012-04-09", "Easter Monday",          "NRV", ""
  "en-CA", "",     "2012-05-21", "Victoria Day",           "NV",  ""
  "en-CA", "",     "2012-07-01", "Canada Day",             "NV",  ""
  "en-CA", "",     "2012-07-02", "Canada Day (obs.)",      "NV",  ""
  "en-CA", "",     "2012-08-06", "First Monday of August", "NV",  ""
  "en-CA", "",     "2012-09-03", "Labour Day",             "NV",  ""
  "en-CA", "",     "2012-10-08", "Thanksgiving Day",       "NV",  ""
  "en-CA", "",     "2012-11-11", "Remembrance Day",        "NF",  ""
  "en-CA", "",     "2012-12-25", "Christmas Day",          "NRF", ""
  "en-CA", "",     "2012-12-26", "Boxing Day",             "NF",  ""
  "en-CA", "",     "2012-12-31", "New Year's Eve",         "NF",  ""

  "en-CA", "",     "2013-01-01", "New Year's Day",         "NF",  ""
  "en-CA", "",     "2013-02-18", "Family Day",             "NV",  "3rd monday in Feb."
  "en-CA", "",     "2013-03-29", "Good Friday",            "NRV", ""
  "en-CA", "",     "2013-04-01", "Easter Monday",          "NRV", ""
  "en-CA", "",     "2013-05-20", "Victoria Day",           "NV",  ""
  "en-CA", "",     "2013-07-01", "Canada Day",             "NF",  ""
  "en-CA", "",     "2013-08-05", "First Monday of August", "NV",  ""
  "en-CA", "",     "2013-09-02", "Labour Day",             "NV",  ""
  "en-CA", "",     "2013-10-14", "Thanksgiving Day",       "NV",  ""
  "en-CA", "",     "2013-11-11", "Remembrance Day",        "NF",  ""
  "en-CA", "",     "2013-12-25", "Christmas Day",          "NRF", ""
  "en-CA", "",     "2013-12-26", "Boxing Day",             "NF",  ""
  "en-CA", "",     "2013-12-31", "New Year's Eve",         "NF",  ""

  "en-CA", "",     "2014-01-01", "New Year's Day",         "NF",  ""
  "en-CA", "",     "2014-02-17", "Family Day",             "NV",  "3rd monday in Feb."
  "en-CA", "",     "2014-04-18", "Good Friday",            "NRV", ""
  "en-CA", "",     "2014-04-21", "Easter Monday",          "NRV", ""
  "en-CA", "",     "2014-05-19", "Victoria Day",           "NV",  ""
  "en-CA", "",     "2014-07-01", "Canada Day",             "NF",  ""
  "en-CA", "",     "2014-08-04", "First Monday of August", "NV",  ""
  "en-CA", "",     "2014-09-01", "Labour Day",             "NV",  ""
  "en-CA", "",     "2014-10-13", "Thanksgiving Day",       "NV",  ""
  "en-CA", "",     "2014-11-11", "Remembrance Day",        "NF",  ""
  "en-CA", "",     "2014-12-25", "Christmas Day",          "NRF", ""
  "en-CA", "",     "2014-12-26", "Boxing Day",             "NF",  ""

  "en-CA", "",     "2015-01-01", "New Year's Day",         "NF",  ""
  "en-CA", "",     "2015-02-16", "Family Day",             "NV",  "3rd monday in Feb."
  "en-CA", "",     "2015-04-03", "Good Friday",            "NRV", ""
  "en-CA", "",     "2015-04-06", "Easter Monday",          "NRV", ""
  "en-CA", "",     "2015-05-18", "Victoria Day",           "NV",  ""
  "en-CA", "",     "2015-07-01", "Canada Day",             "NF",  ""
  "en-CA", "",     "2015-08-03", "First Monday of August", "NV",  ""
  "en-CA", "",     "2015-09-07", "Labour Day",             "NV",  ""
  "en-CA", "",     "2015-10-12", "Thanksgiving Day",       "NV",  ""
  "en-CA", "",     "2015-11-11", "Remembrance Day",        "NF",  ""
  "en-CA", "",     "2015-12-25", "Christmas Day",          "NRF", ""
  "en-CA", "",     "2015-12-26", "Boxing Day",             "NF",  ""

