# Locale,  Region, Date,         Description,                                      Type,  Notes
"cs-CZ", "", "2011-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2011-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2011-04-25", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2011-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2011-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2011-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2011-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2011-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2011-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2011-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2011-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2011-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2011-12-26", "2. svátek vánoční",                              "NRF", ""

"cs-CZ", "", "2012-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2012-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2012-04-09", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2012-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2012-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2012-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2012-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2012-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2012-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2012-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2012-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2012-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2012-12-26", "2. svátek vánoční",                              "NRF", ""

"cs-CZ", "", "2013-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2013-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2013-04-01", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2013-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2013-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2013-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2013-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2013-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2013-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2013-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2013-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2013-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2013-12-26", "2. svátek vánoční",                              "NRF", ""

"cs-CZ", "", "2014-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2014-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2014-04-21", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2014-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2014-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2014-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2014-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2014-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2014-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2014-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2014-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2014-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2014-12-26", "2. svátek vánoční",                              "NRF", ""

"cs-CZ", "", "2015-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2015-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2015-04-06", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2015-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2015-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2015-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2015-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2015-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2015-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2015-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2015-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2015-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2015-12-26", "2. svátek vánoční",                              "NRF", ""

"cs-CZ", "", "2016-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2016-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2016-03-28", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2016-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2016-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2016-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2016-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2016-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2016-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2016-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2016-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2016-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2016-12-26", "2. svátek vánoční",                              "NRF", ""

"cs-CZ", "", "2017-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2017-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2017-04-17", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2017-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2017-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2017-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2017-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
