# Locale,  Region, Date,         Description,                                 Type, Notes.
  "de-DE", "",     "2011-01-01", "Neujahr",                                   "N",  ""
  "de-DE", "BW",   "2011-01-06", "Heilige drei Könige",                       "N",  ""
  "de-DE", "BY",   "2011-01-06", "Heilige drei Könige",                       "N",  ""
  "de-DE", "ST",   "2011-01-06", "Heilige drei Könige",                       "N",  ""
  "de-DE", "",     "2011-04-22", "Karfreitag",                                "N",  ""
  "de-DE", "",     "2011-04-24", "Ostern",                                    "N",  ""
  "de-DE", "",     "2011-04-25", "Ostermontag",                               "N",  ""
  "de-DE", "",     "2011-05-01", "Erster Maifeiertag",                        "N",  ""
  "de-DE", "",     "2011-06-02", "Christi Himmelfahrt",                       "N",  ""
  "de-DE", "",     "2011-06-12", "Pfingstsonntag",                            "N",  ""
  "de-DE", "",     "2011-06-13", "Pfingstmontag",                             "N",  ""
  "de-DE", "BW",   "2011-06-23", "Fronleichnam",                              "N",  ""
  "de-DE", "BY",   "2011-06-23", "Fronleichnam",                              "N",  ""
  "de-DE", "HE",   "2011-06-23", "Fronleichnam",                              "N",  ""
  "de-DE", "NRW",  "2011-06-23", "Fronleichnam",                              "N",  ""
  "de-DE", "RP",   "2011-06-23", "Fronleichnam",                              "N",  ""
  "de-DE", "SL",   "2011-06-23", "Fronleichnam",                              "N",  ""
  "de-DE", "SL",   "2011-08-15", "Mariä Himmelfahrt",                         "N",  ""
  "de-DE", "",     "2011-10-03", "Tag der Deutschen Einheit",                 "N",  ""
  "de-DE", "BB",   "2011-10-31", "Reformationstag",                           "N",  ""
  "de-DE", "MV",   "2011-10-31", "Reformationstag",                           "N",  ""
  "de-DE", "SN",   "2011-10-31", "Reformationstag",                           "N",  ""
  "de-DE", "ST",   "2011-10-31", "Reformationstag",                           "N",  ""
  "de-DE", "TH",   "2011-10-31", "Reformationstag",                           "N",  ""
  "de-DE", "BW",   "2011-11-01", "Allerheiligen",                             "N",  ""
  "de-DE", "BY",   "2011-11-01", "Allerheiligen",                             "N",  ""
  "de-DE", "NRW",  "2011-11-01", "Allerheiligen",                             "N",  ""
  "de-DE", "RP",   "2011-11-01", "Allerheiligen",                             "N",  ""
  "de-DE", "SL",   "2011-11-01", "Allerheiligen",                             "N",  ""
  "de-DE", "SN",   "2011-11-16", "Buß- und Bettag",                           "N",  ""
  "de-DE", "",     "2011-12-24", "Heilig Abend",                              "N",  ""
  "de-DE", "",     "2011-12-25", "Weihnachtstag",                             "N",  ""
  "de-DE", "",     "2011-12-26", "Zweiter Weihnachtstag",                     "N",  ""
  "de-DE", "",     "2011-12-31", "Silvester",                                 "N",  ""

  "de-DE", "",     "2012-01-01", "Neujahr",                                   "NF",   ""
  "de-DE", "BW",   "2012-01-06", "Heilige drei Könige",                       "NRF",  ""
  "de-DE", "BY",   "2012-01-06", "Heilige drei Könige",                       "NRF",  ""
  "de-DE", "ST",   "2012-01-06", "Heilige drei Könige",                       "NRF",  ""
  "de-DE", "",     "2012-04-06", "Karfreitag",                                "NRV",  ""
  "de-DE", "",     "2012-04-08", "Ostern",                                    "NRV",  ""
  "de-DE", "",     "2012-04-09", "Ostermontag",                               "NRV",  ""
  "de-DE", "",     "2012-05-01", "Erster Maifeiertag",                        "NF",   ""
  "de-DE", "",     "2012-05-17", "Christi Himmelfahrt",                       "NRV",  ""
  "de-DE", "",     "2012-05-27", "Pfingstsonntag",                            "NRV",  ""
  "de-DE", "",     "2012-05-28", "Pfingstmontag",                             "NRV",  ""
  "de-DE", "BW",   "2012-06-07", "Fronleichnam",                              "NRV",  ""
  "de-DE", "BY",   "2012-06-07", "Fronleichnam",                              "NRV",  ""
  "de-DE", "HE",   "2012-06-07", "Fronleichnam",                              "NRV",  ""
  "de-DE", "NRW",  "2012-06-07", "Fronleichnam",                              "NRV",  ""
  "de-DE", "RP",   "2012-06-07", "Fronleichnam",                              "NRV",  ""
  "de-DE", "SL",   "2012-06-07", "Fronleichnam",                              "NRV",  ""
  "de-DE", "SL",   "2012-08-15", "Mariä Himmelfahrt",                         "NRF",  ""
  "de-DE", "",     "2012-10-03", "Tag der Deutschen Einheit",                 "NRF",  ""
  "de-DE", "BB",   "2012-10-31", "Reformationstag",                           "NRF",  ""
  "de-DE", "MV",   "2012-10-31", "Reformationstag",                           "NRF",  ""
  "de-DE", "SN",   "2012-10-31", "Reformationstag",                           "NRF",  ""
  "de-DE", "ST",   "2012-10-31", "Reformationstag",                           "NRF",  ""
  "de-DE", "TH",   "2012-10-31", "Reformationstag",                           "NRF",  ""
  "de-DE", "BW",   "2012-11-01", "Allerheiligen",                             "NRF",  ""
  "de-DE", "BY",   "2012-11-01", "Allerheiligen",                             "NRF",  ""
  "de-DE", "NRW",  "2012-11-01", "Allerheiligen",                             "NRF",  ""
  "de-DE", "RP",   "2012-11-01", "Allerheiligen",                             "NRF",  ""
  "de-DE", "SL",   "2012-11-01", "Allerheiligen",                             "NRF",  ""
  "de-DE", "SN",   "2012-11-21", "Buß- und Bettag",                           "NR",   ""
  "de-DE", "",     "2012-12-24", "Heilig Abend",                              "NRF",  ""
  "de-DE", "",     "2012-12-25", "Weihnachtstag",                             "NRF",  ""
  "de-DE", "",     "2012-12-26", "Zweiter Weihnachtstag",                     "NRF",  ""
  "de-DE", "",     "2012-12-31", "Silvester",                                 "NF",   ""

