# Locale,  Region, Date,         Description,              Type, Notes.
  "fi-FI", "",     "2011-01-01",  "Uudenvuodenpäivä",	   "N",  "" # New Year's Day
  "fi-FI", "",     "2011-01-06",  "Loppiainen",            "N",  "" # Epiphany
  "fi-FI", "",     "2011-04-22",  "Pitkäperjantai",        "N",  "" # Good Friday
  "fi-FI", "",     "2011-04-24",  "Pääsiäispäivä",         "N",  "" # Easter Sunday
  "fi-FI", "",     "2011-04-25",  "2. pääsiäispäivä",      "N",  "" # Easter Monday
  "fi-FI", "",     "2011-05-01",  "Vappu",                 "N",  "" # May Day
  "fi-FI", "",     "2011-06-02",  "Helatorstai",           "N",  "" # Ascension Day
  "fi-FI", "",     "2011-06-12",  "Helluntaipäivä",        "N",  "" # Pentecost Sunday
  "fi-FI", "",     "2011-06-24",  "Juhannusaatto",         "N",  "" # Midsummer Eve
  "fi-FI", "",     "2011-06-25",  "Juhannuspäivä",         "N",  "" # Midsummer Day
  "fi-FI", "",     "2011-11-05",  "Pyhäinpäivä",           "N",  "" # All Saints' Day
  "fi-FI", "",     "2011-12-06",  "Itsenäisyyspäivä",      "N",  "" # Independence Day
  "fi-FI", "",     "2011-12-24",  "Jouluaatto",            "N",  "" # Christmas Eve
  "fi-FI", "",     "2011-12-25",  "Joulupäivä",            "N",  "" # Christmas Day
  "fi-FI", "",     "2011-12-26",  "2. joulupäivä",         "N",  "" # Second Christmas Day

  "fi-FI", "",     "2012-01-01",  "Uudenvuodenpäivä",	   "N",  "" # New Year's Day
  "fi-FI", "",     "2012-01-06",  "Loppiainen",            "N",  "" # Epiphany
  "fi-FI", "",     "2012-04-06",  "Pitkäperjantai",        "N",  "" # Good Friday
  "fi-FI", "",     "2012-04-08",  "Pääsiäispäivä",         "N",  "" # Easter Sunday
  "fi-FI", "",     "2012-04-09",  "2. pääsiäispäivä",      "N",  "" # Easter Monday
  "fi-FI", "",     "2012-05-01",  "Vappu",                 "N",  "" # May Day
  "fi-FI", "",     "2012-05-17",  "Helatorstai",           "N",  "" # Ascension Day
  "fi-FI", "",     "2012-05-27",  "Helluntaipäivä",        "N",  "" # Pentecost Sunday
  "fi-FI", "",     "2012-06-22",  "Juhannusaatto",         "N",  "" # Midsummer Eve
  "fi-FI", "",     "2012-06-23",  "Juhannuspäivä",         "N",  "" # Midsummer Day
  "fi-FI", "",     "2012-11-03",  "Pyhäinpäivä",           "N",  "" # All Saints' Day
  "fi-FI", "",     "2012-12-06",  "Itsenäisyyspäivä",      "N",  "" # Independence Day
  "fi-FI", "",     "2012-12-24",  "Jouluaatto",            "N",  "" # Christmas Eve
  "fi-FI", "",     "2012-12-25",  "Joulupäivä",            "N",  "" # Christmas Day
  "fi-FI", "",     "2012-12-26",  "2. joulupäivä",         "N",  "" # Second Christmas Day

  "fi-FI", "",     "2013-01-01",  "Uudenvuodenpäivä",	   "NF",   "" # New Year's Day
  "fi-FI", "",     "2013-01-06",  "Loppiainen",            "NRF",  "" # Epiphany
  "fi-FI", "",     "2013-03-29",  "Pitkäperjantai",        "NRV",  "" # Good Friday
  "fi-FI", "",     "2013-03-31",  "Pääsiäispäivä",         "NRV",  "" # Easter Sunday
  "fi-FI", "",     "2013-04-01",  "2. pääsiäispäivä",      "NRV",  "" # Easter Monday
  "fi-FI", "",     "2013-05-01",  "Vappu",                 "NF",   "" # May Day
  "fi-FI", "",     "2013-05-09",  "Helatorstai",           "NRV",  "" # Ascension Day
  "fi-FI", "",     "2013-05-19",  "Helluntaipäivä",        "NRV",  "" # Pentecost Sunday
  "fi-FI", "",     "2013-06-21",  "Juhannusaatto",         "NV",   "" # Midsummer Eve
  "fi-FI", "",     "2013-06-22",  "Juhannuspäivä",         "NV",   "" # Midsummer Day
  "fi-FI", "",     "2013-11-02",  "Pyhäinpäivä",           "NV",   "" # All Saints' Day
  "fi-FI", "",     "2013-12-06",  "Itsenäisyyspäivä",      "NF",   "" # Independence Day
  "fi-FI", "",     "2013-12-24",  "Jouluaatto",            "NRF",  "" # Christmas Eve
  "fi-FI", "",     "2013-12-25",  "Joulupäivä",            "NRF",  "" # Christmas Day
  "fi-FI", "",     "2013-12-26",  "2. joulupäivä",         "NRF",  "" # Second Christmas Day

