# Locale,  Region, Date,         Description,              Type,  Notes.
  "fr-FR", "",     "2011-01-01", "Jour de l'an",           "NF",  ""
  "fr-FR", "",     "2011-04-05", "Lundi de Pâques",        "NRV", ""
  "fr-FR", "",     "2011-05-01", "Fête du premier mai",    "NV",  ""
  "fr-FR", "",     "2011-05-08", "Armistice 1945",         "NF",  ""
  "fr-FR", "",     "2011-06-02", "Ascencion",              "NR",  ""
  "fr-FR", "",     "2011-06-12", "Pentecôte",              "NR",  ""
  "fr-FR", "",     "2011-07-14", "Fête nationale",         "NF",  ""
  "fr-FR", "",     "2011-07-15", "Fête nationale",         "NV",  ""
  "fr-FR", "",     "2011-08-15", "Assomption",             "NR",  ""
  "fr-FR", "",     "2011-11-01", "Toussaint",              "NR",  ""
  "fr-FR", "",     "2011-11-11", "Armistice 1918",         "N",   ""
  "fr-FR", "",     "2011-12-25", "Noël",                   "N",   ""

  "fr-FR", "",     "2012-01-01", "Jour de l'an",           "NF",  ""
  "fr-FR", "",     "2012-04-09", "Lundi de Pâques",        "NRV", ""
  "fr-FR", "",     "2012-05-01", "Fête du premier mai",    "NF",  ""
  "fr-FR", "",     "2012-05-08", "Armistice 1945",         "NF",  ""
  "fr-FR", "",     "2012-05-17", "Ascencion",              "NR",  ""
  "fr-FR", "",     "2012-05-28", "Pentecôte",              "NR",  ""
  "fr-FR", "",     "2012-07-14", "Fête nationale",         "NF",  ""
  "fr-FR", "",     "2012-08-15", "Assomption",             "NR",  ""
  "fr-FR", "",     "2012-11-01", "Toussaint",              "NRF", ""
  "fr-FR", "",     "2012-11-11", "Armistice 1918",         "NF",  ""
  "fr-FR", "",     "2012-12-25", "Noël",                   "NF",  ""

  "fr-FR", "",     "2013-01-01", "Jour de l'an",           "NF",  ""
  "fr-FR", "",     "2013-04-01", "Lundi de Pâques",        "NRV", ""
  "fr-FR", "",     "2013-05-01", "Fête du premier mai",    "NF",  ""
  "fr-FR", "",     "2013-05-08", "Armistice 1945",         "NF",  ""
  "fr-FR", "",     "2013-05-09", "Ascencion",              "NRV", ""
  "fr-FR", "",     "2013-05-19", "Pentecôte",              "NRV", ""
  "fr-FR", "",     "2013-07-14", "Fête nationale",         "NF",  ""
  "fr-FR", "",     "2013-08-15", "Assomption",             "NRF", ""
  "fr-FR", "",     "2013-11-01", "Toussaint",              "NRF", ""
  "fr-FR", "",     "2013-11-11", "Armistice 1918",         "NF",  ""
  "fr-FR", "",     "2013-12-25", "Noël",                   "NF",  ""

  "fr-FR", "",     "2014-01-01", "Jour de l'an",           "NF",  ""
  "fr-FR", "",     "2014-04-21", "Lundi de Pâques",        "NRV", ""
  "fr-FR", "",     "2014-05-01", "Fête du premier mai",    "NF",  ""
  "fr-FR", "",     "2014-05-08", "Armistice 1945",         "NF",  ""
  "fr-FR", "",     "2014-05-29", "Ascencion",              "NRV", ""
  "fr-FR", "",     "2014-06-08", "Pentecôte",              "NRV", ""
  "fr-FR", "",     "2014-07-14", "Fête nationale",         "NF",  ""
  "fr-FR", "",     "2014-08-15", "Assomption",             "NRF", ""
  "fr-FR", "",     "2014-11-01", "Toussaint",              "NRF", ""
  "fr-FR", "",     "2014-11-11", "Armistice 1918",         "NF",  ""
  "fr-FR", "",     "2014-12-25", "Noël",                   "NF",  ""

  "fr-FR", "",     "2015-01-01", "Jour de l'an",           "NF",  ""
  "fr-FR", "",     "2015-04-06", "Lundi de Pâques",        "NRV", ""
  "fr-FR", "",     "2015-05-01", "Fête du premier mai",    "NF",  ""
  "fr-FR", "",     "2015-05-08", "Armistice 1945",         "NF",  ""
  "fr-FR", "",     "2015-05-14", "Ascencion",              "NRV", ""
  "fr-FR", "",     "2015-05-24", "Pentecôte",              "NRV", ""
  "fr-FR", "",     "2015-07-14", "Fête nationale",         "NF",  ""
  "fr-FR", "",     "2015-08-15", "Assomption",             "NRF", ""
  "fr-FR", "",     "2015-11-01", "Toussaint",              "NRF", ""
  "fr-FR", "",     "2015-11-11", "Armistice 1918",         "NF",  ""
  "fr-FR", "",     "2015-12-25", "Noël",                   "NF",  ""

  "fr-FR", "",     "2016-01-01", "Jour de l'an",           "NF",  ""
  "fr-FR", "",     "2016-03-28", "Lundi de Pâques",        "NRV", ""
  "fr-FR", "",     "2016-05-01", "Fête du premier mai",    "NF",  ""
  "fr-FR", "",     "2016-05-08", "Armistice 1945",         "NF",  ""
  "fr-FR", "",     "2016-05-05", "Ascencion",              "NRV", ""
  "fr-FR", "",     "2016-05-15", "Pentecôte",              "NRV", ""
  "fr-FR", "",     "2016-07-14", "Fête nationale",         "NF",  ""
  "fr-FR", "",     "2016-08-15", "Assomption",             "NRF", ""
  "fr-FR", "",     "2016-11-01", "Toussaint",              "NRF", ""
  "fr-FR", "",     "2016-11-11", "Armistice 1918",         "NF",  ""
  "fr-FR", "",     "2016-12-25", "Noël",                   "NF",  ""

