# Locale,  Region, Date,         Description,                 Type, Notes.
  "en-GB", "",     "2011-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2011-04-02", "Good Friday",               "NRV", ""
  "en-GB", "",     "2011-04-25", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2011-05-02", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2011-05-29", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2011-08-29", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2011-12-26", "Christmas Day",             "NRF", ""
  "en-GB", "",     "2011-12-27", "Boxing Day",                "NF",  ""

  "en-GB", "",     "2012-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2012-01-02", "New Year's Day Holiday",    "NV",  ""
  "en-GB", "",     "2012-04-06", "Good Friday",               "NRV", ""
  "en-GB", "",     "2012-04-09", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2012-05-07", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2012-06-04", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2012-06-05", "Queen's Diamond Jubilee",   "NV",  ""
  "en-GB", "",     "2012-08-27", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2012-12-25", "Christmas Day",             "NRF", ""
  "en-GB", "",     "2012-12-26", "Boxing Day",                "NF",  ""

  "en-GB", "",     "2013-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2013-03-29", "Good Friday",               "NRV", ""
  "en-GB", "",     "2013-04-01", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2013-05-06", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2013-05-27", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2013-08-26", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2013-12-25", "Christmas Day",             "NRF", ""
  "en-GB", "",     "2013-12-26", "Boxing Day",                "NF",  ""

  "en-GB", "",     "2014-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2014-04-18", "Good Friday",               "NRV", ""
  "en-GB", "",     "2014-04-21", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2014-05-05", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2014-05-26", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2014-08-25", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2014-12-25", "Christmas Day",             "NRF", ""
  "en-GB", "",     "2014-12-26", "Boxing Day",                "NF",  ""

  "en-GB", "",     "2015-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2015-04-03", "Good Friday",               "NRV", ""
  "en-GB", "",     "2015-04-06", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2015-05-04", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2015-05-25", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2015-08-31", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2015-12-25", "Christmas Day",             "NRF", ""
  "en-GB", "",     "2015-12-26", "Boxing Day",                "NF",  ""

  "en-GB", "",     "2016-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2016-03-25", "Good Friday",               "NRV", ""
  "en-GB", "",     "2016-03-28", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2016-05-02", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2016-05-30", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2016-08-29", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2016-12-25", "Christmas Day",             "RF", ""
  "en-GB", "",     "2016-12-26", "Boxing Day",                "NF",  ""
  "en-GB", "",     "2016-12-27", "Christmas Day (substitute)","NV",  ""

  "en-GB", "",     "2017-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2017-01-02", "New Year's Day (observed)", "NV",  ""
  "en-GB", "",     "2017-04-14", "Good Friday",               "NRV", ""
  "en-GB", "",     "2017-04-17", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2017-05-01", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2017-05-29", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2017-08-28", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2017-12-25", "Christmas Day",             "NRF", ""
  "en-GB", "",     "2017-12-26", "Boxing Day",                "NF",  ""

  "en-GB", "",     "2018-01-01", "New Year's Day",            "NF",  ""
  "en-GB", "",     "2018-03-30", "Good Friday",               "NRV", ""
  "en-GB", "",     "2018-04-02", "Easter Monday",             "NRV", ""
  "en-GB", "",     "2018-05-07", "Early May Bank Holiday",    "NV",  ""
  "en-GB", "",     "2018-05-28", "Spring Bank Holiday",       "NV",  ""
  "en-GB", "",     "2018-08-27", "August Bank Holiday",       "NV",  ""
  "en-GB", "",     "2018-12-25", "Christmas Day",             "NRF", ""
  "en-GB", "",     "2018-12-26", "Boxing Day",                "NF",  ""

