# Locale,  Region, Date,         Description,             Type, Notes.
  "en-GL", "",     "2012-01-01", "New Year's Day",     "NF",  ""
  "en-GL", "",     "2012-01-06", "Epiphany",           "NF",  ""
  "en-GL", "",     "2012-04-05", "Maundy Thursday",    "NRV", ""
  "en-GL", "",     "2012-04-06", "Good Friday",        "NRV", ""
  "en-GL", "",     "2012-04-09", "Easter Monday",      "NRV", ""
  "en-GL", "",     "2012-05-04", "General Prayer Day", "NRV", ""
  "en-GL", "",     "2012-05-17", "Ascension",          "NRV", ""
  "en-GL", "",     "2012-05-28", "Whit Monday",        "NRV", ""
  "en-GL", "",     "2012-06-21", "Ullortuneq",         "NF",  ""
  "en-GL", "",     "2012-12-24", "Christmas Eve",      "NRF", ""
  "en-GL", "",     "2012-12-25", "Christmas Day",      "NRF", ""
  "en-GL", "",     "2012-12-26", "St Stephen's Day",   "NRF", ""
  "en-GL", "",     "2012-12-31", "New Year's Eve",     "NF",  ""

  "en-GL", "",     "2013-01-01", "New Year's Day",     "NF",  ""
  "en-GL", "",     "2013-01-06", "Epiphany",           "NF",  ""
  "en-GL", "",     "2013-03-28", "Maundy Thursday",    "NRV", ""
  "en-GL", "",     "2013-03-29", "Good Friday",        "NRV", ""
  "en-GL", "",     "2013-04-01", "Easter Monday",      "NRV", ""
  "en-GL", "",     "2013-04-26", "General Prayer Day", "NRV", ""
  "en-GL", "",     "2013-05-09", "Ascension",          "NRV", ""
  "en-GL", "",     "2013-05-20", "Whit Monday",        "NRV", ""
  "en-GL", "",     "2013-06-21", "Ullortuneq",         "NF",  ""
  "en-GL", "",     "2013-12-24", "Christmas Eve",      "NRF", ""
  "en-GL", "",     "2013-12-25", "Christmas Day",      "NRF", ""
  "en-GL", "",     "2013-12-26", "St Stephen's Day",   "NRF", ""
  "en-GL", "",     "2013-12-31", "New Year's Eve",     "NF",  ""

  "en-GL", "",     "2014-01-01", "New Year's Day",     "NF",  ""
  "en-GL", "",     "2014-01-06", "Epiphany",           "NF",  ""
  "en-GL", "",     "2014-04-17", "Maundy Thursday",    "NRV", ""
  "en-GL", "",     "2014-03-18", "Good Friday",        "NRV", ""
  "en-GL", "",     "2014-04-21", "Easter Monday",      "NRV", ""
  "en-GL", "",     "2014-05-16", "General Prayer Day", "NRV", ""
  "en-GL", "",     "2014-05-29", "Ascension",          "NRV", ""
  "en-GL", "",     "2014-06-09", "Whit Monday",        "NRV", ""
  "en-GL", "",     "2014-06-21", "Ullortuneq",         "NF",  ""
  "en-GL", "",     "2014-12-24", "Christmas Eve",      "NRF", ""
  "en-GL", "",     "2014-12-25", "Christmas Day",      "NRF", ""
  "en-GL", "",     "2014-12-26", "St Stephen's Day",   "NRF", ""
  "en-GL", "",     "2014-12-31", "New Year's Eve",     "NF",  ""

  "en-GL", "",     "2015-01-01", "New Year's Day",     "NF",  ""
  "en-GL", "",     "2015-01-06", "Epiphany",           "NF",  ""
  "en-GL", "",     "2015-04-02", "Maundy Thursday",    "NRV", ""
  "en-GL", "",     "2015-03-03", "Good Friday",        "NRV", ""
  "en-GL", "",     "2015-04-06", "Easter Monday",      "NRV", ""
  "en-GL", "",     "2015-05-01", "General Prayer Day", "NRV", ""
  "en-GL", "",     "2015-05-14", "Ascension",          "NRV", ""
  "en-GL", "",     "2015-05-25", "Whit Monday",        "NRV", ""
  "en-GL", "",     "2015-06-21", "Ullortuneq",         "NF",  ""
  "en-GL", "",     "2015-12-24", "Christmas Eve",      "NRF", ""
  "en-GL", "",     "2015-12-25", "Christmas Day",      "NRF", ""
  "en-GL", "",     "2015-12-26", "St Stephen's Day",   "NRF", ""
  "en-GL", "",     "2015-12-31", "New Year's Eve",     "NF",  ""

  "en-GL", "",     "2016-01-01", "New Year's Day",     "NF",  ""
  "en-GL", "",     "2016-01-06", "Epiphany",           "NF",  ""
  "en-GL", "",     "2016-03-24", "Maundy Thursday",    "NRV", ""
  "en-GL", "",     "2016-03-25", "Good Friday",        "NRV", ""
  "en-GL", "",     "2016-04-28", "Easter Monday",      "NRV", ""
  "en-GL", "",     "2016-04-22", "General Prayer Day", "NRV", ""
  "en-GL", "",     "2016-05-05", "Ascension",          "NRV", ""
  "en-GL", "",     "2016-05-16", "Whit Monday",        "NRV", ""
  "en-GL", "",     "2016-06-21", "Ullortuneq",         "NF",  ""
  "en-GL", "",     "2016-12-24", "Christmas Eve",      "NRF", ""
  "en-GL", "",     "2016-12-25", "Christmas Day",      "NRF", ""
  "en-GL", "",     "2016-12-26", "St Stephen's Day",   "NRF", ""
  "en-GL", "",     "2016-12-31", "New Year's Eve",     "NF",  ""
