# Locale,  Region, Date,         Description,                                                           Type,  Notes.
  "el-GR", "",     "2012-01-01", "Πρωτοχρονιά",                                                         "NF",  ""  # New year's eve
  "el-GR", "",     "2012-01-06", "Θεοφάνεια",                                                           "NRF", ""  # Epiphany
  "el-GR", "",     "2012-02-28", "Καθαρά Δευτέρα",                                                      "NRV", ""  # Beginning of 7th week before Orthodoc Easter Sunday
  "el-GR", "",     "2012-03-25", "Ευαγγελισμός της Θεοτόκου και Εθνική Ημέρα Ανεξαρτησίας της Ελλάδας", "NF",  ""  # Annunciation to the blessed Virgin Mary & Liberation Day
  "el-GR", "",     "2012-04-13", "Μεγάλη Παρασκευή",                                                    "NRV", ""  # Eastern Easter - 2d
  "el-GR", "",     "2012-04-14", "Μεγάλο Σάββατο",                                                      "NRV", ""  # Eastern Easter - 1d
  "el-GR", "",     "2012-04-15", "Πάσχα",                                                               "NRV", ""  # Eastern Easter (same as ru-RU)
  "el-GR", "",     "2012-04-16", "Δευτέρα του Πάσχα",                                                   "NRV", ""  # Eastern Easter + 1d
  "el-GR", "",     "2012-05-01", "Πρωτομαγιά",                                                          "NF",  ""  # International worker's day
  "el-GR", "",     "2012-05-28", "Δευτέρα του Αγίου Πνεύματος",                                         "NRV", ""  # 7 weeks after Eastern Easter + 1d - Monday
  "el-GR", "",     "2012-08-15", "Κοίμηση της Θεοτόκου",                                                "NRF", ""  # Assumption of Mary
  "el-GR", "",     "2012-10-28", "Ημέρα του ΌΧΙ",                                                       "NF",  ""  # Ohi Day
  "el-GR", "",     "2012-12-25", "Χριστούγεννα",                                                        "NRF", ""  # Christmas
  "el-GR", "",     "2012-12-26", "Επόμενη ημέρα Χριστουγέννων",                                         "NRF", ""  # Second day of Christmas

  "el-GR", "",     "2013-01-01", "Πρωτοχρονιά",                                                         "NF",  ""
  "el-GR", "",     "2013-01-06", "Θεοφάνεια",                                                           "NRF", ""
  "el-GR", "",     "2013-03-28", "Καθαρά Δευτέρα",                                                      "NRV", ""
  "el-GR", "",     "2013-03-25", "Ευαγγελισμός της Θεοτόκου και Εθνική Ημέρα Ανεξαρτησίας της Ελλάδας", "NF",  ""
  "el-GR", "",     "2013-05-01", "Πρωτομαγιά",                                                          "NF",  ""
  "el-GR", "",     "2013-05-03", "Μεγάλη Παρασκευή",                                                    "NRV", ""
  "el-GR", "",     "2013-05-04", "Μεγάλο Σάββατο",                                                      "NRV", ""
  "el-GR", "",     "2013-05-05", "Πάσχα",                                                               "NRV", ""
  "el-GR", "",     "2013-05-06", "Δευτέρα του Πάσχα",                                                   "NRV", ""
  "el-GR", "",     "2013-06-24", "Δευτέρα του Αγίου Πνεύματος",                                         "NRV", ""
  "el-GR", "",     "2013-08-15", "Κοίμηση της Θεοτόκου",                                                "NRF", ""
  "el-GR", "",     "2013-10-28", "Ημέρα του ΌΧΙ",                                                       "NF",  ""
  "el-GR", "",     "2013-12-25", "Χριστούγεννα",                                                        "NRF", ""
  "el-GR", "",     "2013-12-26", "Επόμενη ημέρα Χριστουγέννων",                                         "NRF", ""

  "el-GR", "",     "2014-01-01", "Πρωτοχρονιά",                                                         "NF",  ""
  "el-GR", "",     "2014-01-06", "Θεοφάνεια",                                                           "NRF", ""
  "el-GR", "",     "2014-03-03", "Καθαρά Δευτέρα",                                                      "NRV", ""
  "el-GR", "",     "2014-03-25", "Ευαγγελισμός της Θεοτόκου και Εθνική Ημέρα Ανεξαρτησίας της Ελλάδας", "NF",  ""
  "el-GR", "",     "2014-04-18", "Πρωτομαγιά",                                                          "NF",  ""
  "el-GR", "",     "2014-04-19", "Μεγάλη Παρασκευή",                                                    "NRV", ""
  "el-GR", "",     "2014-04-20", "Μεγάλο Σάββατο",                                                      "NRV", ""
  "el-GR", "",     "2014-04-21", "Πάσχα",                                                               "NRV", ""
  "el-GR", "",     "2014-05-06", "Δευτέρα του Πάσχα",                                                   "NRV", ""
  "el-GR", "",     "2014-06-09", "Δευτέρα του Αγίου Πνεύματος",                                         "NRV", ""
  "el-GR", "",     "2014-08-15", "Κοίμηση της Θεοτόκου",                                                "NRF", ""
  "el-GR", "",     "2014-10-28", "Ημέρα του ΌΧΙ",                                                       "NF",  ""
  "el-GR", "",     "2014-12-25", "Χριστούγεννα",                                                        "NRF", ""
  "el-GR", "",     "2014-12-26", "Επόμενη ημέρα Χριστουγέννων",                                         "NRF", ""

