# Locale,  Region, Date,         Description,                                                                   Type,  Notes.
  "en-HK", "",     "2012-01-02", "The day following the first day of January",                                  "NF",  ""
  "en-HK", "",     "2012-01-23", "Lunar New Year's Day",                                                        "NV",  ""
  "en-HK", "",     "2012-01-24", "The second day of the Lunar New Year",                                        "NV",  ""
  "en-HK", "",     "2012-01-25", "The third day of the Lunar New Year",                                         "NV",  ""
  "en-HK", "",     "2012-04-06", "Good Friday",                                                                 "NRV", ""
  "en-HK", "",     "2012-04-07", "The day following Good Friday",                                               "NV",  ""
  "en-HK", "",     "2012-04-09", "Easter Monday",                                                               "NRV", ""
  "en-HK", "",     "2012-04-04", "Ching Ming Festival",                                                         "NF",  ""
  "en-HK", "",     "2012-05-01", "Labour Day",                                                                  "NF",  ""
  "en-HK", "",     "2012-04-28", "The Birthday of the Buddha",                                                  "NV",  ""
  "en-HK", "",     "2012-06-23", "Tuen Ng Festival",                                                            "NV",  ""
  "en-HK", "",     "2012-07-02", "The day following Hong Kong Special Administrative Region Establishment Day", "NV",  ""
  "en-HK", "",     "2012-10-01", "The day following the Chinese Mid-Autumn Festival",                           "NV",  ""
  "en-HK", "",     "2012-10-02", "The day following National Day",                                              "NV",  ""
  "en-HK", "",     "2012-10-23", "Chung Yeung Festival",                                                        "NV",  ""
  "en-HK", "",     "2012-12-25", "Christmas Day",                                                               "NRF", ""
  "en-HK", "",     "2012-12-26", "The first weekday after Christmas Day",                                       "NV",  ""

  "en-HK", "",     "2013-01-01", "The first day of January",                                                    "NF",  ""
  "en-HK", "",     "2013-02-11", "The second day of Lunar New Year",                                            "NV",  ""
  "en-HK", "",     "2013-02-12", "The third day of Lunar New Year",                                             "NV",  ""
  "en-HK", "",     "2013-02-13", "The fourth day of Lunar New Year",                                            "NV",  ""
  "en-HK", "",     "2013-03-29", "Good Friday",                                                                 "NRV", ""
  "en-HK", "",     "2013-03-30", "The day following Good Friday",                                               "NV",  ""
  "en-HK", "",     "2013-04-01", "Easter Monday",                                                               "NRV", ""
  "en-HK", "",     "2013-04-04", "Ching Ming Festival",                                                         "NF",  ""
  "en-HK", "",     "2013-05-01", "Labour Day",                                                                  "NF",  ""
  "en-HK", "",     "2013-05-17", "The Birthday of the Buddha",                                                  "NV",  ""
  "en-HK", "",     "2013-06-12", "Tuen Ng Festival",                                                            "NV",  ""
  "en-HK", "",     "2013-07-01", "Hong Kong Special Administrative Region Establishment Day",                   "NV",  ""
  "en-HK", "",     "2013-09-20", "The day following the Chinese Mid-Autumn Festival",                           "NV",  ""
  "en-HK", "",     "2013-10-01", "National Day",                                                                "NV",  ""
  "en-HK", "",     "2013-10-14", "The day following Chung Yeung Festival",                                      "NV",  ""
  "en-HK", "",     "2013-12-25", "Christmas Day",                                                               "NRF", ""
  "en-HK", "",     "2013-12-26", "The first weekday after Christmas Day",                                       "NV",  ""

  "en-HK", "",     "2014-01-01", "The first day of January",                                                    "NF",  ""
  "en-HK", "",     "2014-02-01", "The second day of Lunar New Year",                                            "NV",  ""
  "en-HK", "",     "2014-02-03", "The fourth day of Lunar New Year",                                            "NV",  ""
  "en-HK", "",     "2014-04-18", "Good Friday",                                                                 "NRV", ""
  "en-HK", "",     "2014-04-19", "The day following Good Friday",                                               "NV",  ""
  "en-HK", "",     "2014-04-21", "Easter Monday",                                                               "NRV", ""
  "en-HK", "",     "2014-04-05", "Ching Ming Festival",                                                         "NF",  ""
  "en-HK", "",     "2014-05-01", "Labour Day",                                                                  "NF",  ""
  "en-HK", "",     "2014-05-06", "The Birthday of the Buddha",                                                  "NV",  ""
  "en-HK", "",     "2014-06-02", "Tuen Ng Festival",                                                            "NV",  ""
  "en-HK", "",     "2014-07-01", "Hong Kong Special Administrative Region Establishment Day",                   "NV",  ""
  "en-HK", "",     "2014-09-09", "The day following the Chinese Mid-Autumn Festival",                           "NV",  ""
  "en-HK", "",     "2014-10-01", "National Day",                                                                "NV",  ""
  "en-HK", "",     "2014-10-02", "Chung Yeung Festival",                                                        "NV",  ""
  "en-HK", "",     "2014-12-25", "Christmas Day",                                                               "NRF", ""
  "en-HK", "",     "2014-12-26", "The first weekday after Christmas Day",                                       "NV",  ""

  "en-HK", "",     "2015-01-01", "The first day of January",                                                    "NF",  ""
  "en-HK", "",     "2015-02-19", "Lunar New Year’s Day",                                                        "NV",  ""
  "en-HK", "",     "2015-02-20", "The second day of Lunar New Year",                                            "NV",  ""
  "en-HK", "",     "2015-02-21", "The third day of Lunar New Year",                                             "NV",  ""
  "en-HK", "",     "2015-04-03", "Good Friday",                                                                 "NRV", ""
  "en-HK", "",     "2015-04-04", "The day following Good Friday",                                               "NV",  ""
  "en-HK", "",     "2015-04-06", "The day following Ching Ming Festival",                                       "NRV", ""
  "en-HK", "",     "2015-04-07", "The day following Easter Monday",                                             "NRV", ""
  "en-HK", "",     "2015-05-01", "Labour Day",                                                                  "NF",  ""
  "en-HK", "",     "2015-05-25", "The Birthday of the Buddha",                                                  "NV",  ""
  "en-HK", "",     "2015-06-20", "Tuen Ng Festival",                                                            "NV",  ""
  "en-HK", "",     "2015-07-01", "Hong Kong Special Administrative Region Establishment Day",                   "NF",  ""
  "en-HK", "",     "2015-09-28", "The day following the Chinese Mid-Autumn Festival",                           "NV",  ""
  "en-HK", "",     "2015-10-01", "National Day",                                                                "NF",  ""
  "en-HK", "",     "2015-10-21", "Chung Yeung Festival",                                                        "NV",  ""
  "en-HK", "",     "2015-12-25", "Christmas Day",                                                               "NRF", ""
  "en-HK", "",     "2015-12-26", "The first weekday after Christmas Day",                                       "NRF", ""

  "en-HK", "",     "2016-01-01", "The first day of January",                                                    "NF",  ""
  "en-HK", "",     "2016-02-08", "Lunar New Year’s Day",                                                        "NV",  ""
  "en-HK", "",     "2016-02-09", "The second day of Lunar New Year",                                            "NV",  ""
  "en-HK", "",     "2016-02-10", "The third day of Lunar New Year",                                             "NV",  ""
  "en-HK", "",     "2016-03-25", "Good Friday",                                                                 "NRV", ""
  "en-HK", "",     "2016-03-26", "The day following Good Friday",                                               "NV",  ""
  "en-HK", "",     "2016-04-04", "Ching Ming Festival",                                                         "NRV", ""
  "en-HK", "",     "2016-05-01", "Labour Day",                                                                  "NF",  ""
  "en-HK", "",     "2016-05-14", "The Birthday of the Buddha",                                                  "NV",  ""
  "en-HK", "",     "2016-06-09", "Tuen Ng Festival",                                                            "NV",  ""
  "en-HK", "",     "2016-07-01", "Hong Kong Special Administrative Region Establishment Day",                   "NF",  ""
  "en-HK", "",     "2016-09-16", "The day following the Chinese Mid-Autumn Festival",                           "NV",  ""
  "en-HK", "",     "2016-10-01", "National Day",                                                                "NF",  ""
  "en-HK", "",     "2016-10-10", "Chung Yeung Festival",                                                        "NV",  ""
  "en-HK", "",     "2016-12-25", "Christmas Day",                                                               "NRF", ""
  "en-HK", "",     "2016-12-26", "The first weekday after Christmas Day",                                       "NRF", ""

# 'http://www.gov.hk/en/about/abouthk/holiday/2014.htm
