# Locale,  Region, Date,         Description,                                 Type, Notes.
  "hr-HR", "",     "2012-01-01", "Nova Godina",              "NF",  ""
  "hr-HR", "",     "2012-01-06", "Bogojavljenje",            "NRF", ""
  "hr-HR", "",     "2012-04-08", "Uskrs",                    "NRV", ""
  "hr-HR", "",     "2012-04-09", "Uskrsni ponedjeljak",      "NRV", ""
  "hr-HR", "",     "2012-05-01", "Međunarodni praznik rada", "NF",  ""
  "hr-HR", "",     "2012-06-07", "Tijelovo",                 "NRV", ""
  "hr-HR", "",     "2012-06-22", "Dan antifašističke borbe", "NF",  ""
  "hr-HR", "",     "2012-06-25", "Dan državnosti",           "NF",  ""
  "hr-HR", "",     "2012-08-05", "Dan pobjede",              "NF",  ""
  "hr-HR", "",     "2012-08-15", "Velika Gospa",             "NRF", ""
  "hr-HR", "",     "2012-10-08", "Dan neovisnosti",          "NF",  ""
  "hr-HR", "",     "2012-11-01", "Dan svih svetih",          "NRF", ""
  "hr-HR", "",     "2012-12-25", "Božić",                    "NRF", ""
  "hr-HR", "",     "2012-12-26", "Prvi dan po Božiću",       "NF",  ""

  "hr-HR", "",     "2013-01-01", "Nova Godina",              "NF",  ""
  "hr-HR", "",     "2013-01-06", "Bogojavljenje",            "NRF", ""
  "hr-HR", "",     "2013-03-31", "Uskrs",                    "NRV", ""
  "hr-HR", "",     "2013-04-01", "Uskrsni ponedjeljak",      "NRV", ""
  "hr-HR", "",     "2013-05-01", "Međunarodni praznik rada", "NF",  ""
  "hr-HR", "",     "2013-05-30", "Tijelovo",                 "NRV", ""
  "hr-HR", "",     "2013-06-22", "Dan antifašističke borbe", "NF",  ""
  "hr-HR", "",     "2013-06-25", "Dan državnosti",           "NF",  ""
  "hr-HR", "",     "2013-08-05", "Dan pobjede",              "NF",  ""
  "hr-HR", "",     "2013-08-15", "Velika Gospa",             "NRF", ""
  "hr-HR", "",     "2013-10-08", "Dan neovisnosti",          "NF",  ""
  "hr-HR", "",     "2013-11-01", "Dan svih svetih",          "NRF", ""
  "hr-HR", "",     "2013-12-25", "Božić",                    "NRF", ""
  "hr-HR", "",     "2013-12-26", "Prvi dan po Božiću",       "NF",  ""

  "hr-HR", "",     "2014-01-01", "Nova Godina",              "NF",  ""
  "hr-HR", "",     "2014-01-06", "Bogojavljenje",            "NRF", ""
  "hr-HR", "",     "2014-04-20", "Uskrs",                    "NRV", ""
  "hr-HR", "",     "2014-04-21", "Uskrsni ponedjeljak",      "NRV", ""
  "hr-HR", "",     "2014-05-01", "Međunarodni praznik rada", "NF",  ""
  "hr-HR", "",     "2014-06-19", "Tijelovo",                 "NRV", ""
  "hr-HR", "",     "2014-06-22", "Dan antifašističke borbe", "NF",  ""
  "hr-HR", "",     "2014-06-25", "Dan državnosti",           "NF",  ""
  "hr-HR", "",     "2014-08-05", "Dan pobjede",              "NF",  ""
  "hr-HR", "",     "2014-08-15", "Velika Gospa",             "NRF", ""
  "hr-HR", "",     "2014-10-08", "Dan neovisnosti",          "NF",  ""
  "hr-HR", "",     "2014-11-01", "Dan svih svetih",          "NRF", ""
  "hr-HR", "",     "2014-12-25", "Božić",                    "NRF", ""
  "hr-HR", "",     "2014-12-26", "Prvi dan po Božiću",       "NF",  ""

  "hr-HR", "",     "2015-01-01", "Nova Godina",              "NF",  ""
  "hr-HR", "",     "2015-01-06", "Bogojavljenje",            "NRF", ""
  "hr-HR", "",     "2015-04-05", "Uskrs",                    "NRV", ""
  "hr-HR", "",     "2015-04-06", "Uskrsni ponedjeljak",      "NRV", ""
  "hr-HR", "",     "2015-05-01", "Međunarodni praznik rada", "NF",  ""
  "hr-HR", "",     "2015-06-04", "Tijelovo",                 "NRV", ""
  "hr-HR", "",     "2015-06-22", "Dan antifašističke borbe", "NF",  ""
  "hr-HR", "",     "2015-06-25", "Dan državnosti",           "NF",  ""
  "hr-HR", "",     "2015-08-05", "Dan pobjede",              "NF",  ""
  "hr-HR", "",     "2015-08-15", "Velika Gospa",             "NRF", ""
  "hr-HR", "",     "2015-10-08", "Dan neovisnosti",          "NF",  ""
  "hr-HR", "",     "2015-11-01", "Dan svih svetih",          "NRF", ""
  "hr-HR", "",     "2015-12-25", "Božić",                    "NRF", ""
  "hr-HR", "",     "2015-12-26", "Prvi dan po Božiću",       "NF",  ""

  "hr-HR", "",     "2016-01-01", "Nova Godina",              "NF",  ""
  "hr-HR", "",     "2016-01-06", "Bogojavljenje",            "NRF", ""
  "hr-HR", "",     "2016-03-27", "Uskrs",                    "NRV", ""
  "hr-HR", "",     "2016-03-28", "Uskrsni ponedjeljak",      "NRV", ""
  "hr-HR", "",     "2016-05-01", "Međunarodni praznik rada", "NF",  ""
  "hr-HR", "",     "2016-05-26", "Tijelovo",                 "NRV", ""
  "hr-HR", "",     "2016-06-22", "Dan antifašističke borbe", "NF",  ""
  "hr-HR", "",     "2016-06-25", "Dan državnosti",           "NF",  ""
  "hr-HR", "",     "2016-08-05", "Dan pobjede",              "NF",  ""
  "hr-HR", "",     "2016-08-15", "Velika Gospa",             "NRF", ""
  "hr-HR", "",     "2016-10-08", "Dan neovisnosti",          "NF",  ""
  "hr-HR", "",     "2016-11-01", "Dan svih svetih",          "NRF", ""
  "hr-HR", "",     "2016-12-25", "Božić",                    "NRF", ""
  "hr-HR", "",     "2016-12-26", "Prvi dan po Božiću",       "NF",  ""

