# Locale,  Region, Date,         Description,              Type, Notes.
  "is-IS", "",     "2012-01-01", "Nýársdagur",              "NF",   ""
  "is-IS", "",     "2012-04-05", "Skírdagur",               "NRV",  ""
  "is-IS", "",     "2012-04-06", "Föstudaginn langi",       "NRV",  ""
  "is-IS", "",     "2012-04-08", "Páskadagur",              "NRV",  ""
  "is-IS", "",     "2012-04-09", "Annar í páskum",          "NRV",  ""
  "is-IS", "",     "2012-04-19", "Sumardagurinn fyrsti",    "NV",   ""
  "is-IS", "",     "2012-05-01", "Verkalýðsdagurinn",       "NF",   ""
  "is-IS", "",     "2012-05-17", "Uppstigningardagur",      "NRV",  ""
  "is-IS", "",     "2012-05-28", "Annar í hvítasunnu",      "NRV",  ""
  "is-IS", "",     "2012-06-03", "Sjómannadagurinn",        "NV",   ""
  "is-IS", "",     "2012-06-17", "Lýðveldisdagurinn",       "NF",   ""
  "is-IS", "",     "2012-08-06", "Frídagur verslunarmanna", "NV",   ""
  "is-IS", "",     "2012-12-24", "Jól",                     "NRF",  ""
  "is-IS", "",     "2012-12-25", "Jól",                     "NRF",  ""
  "is-IS", "",     "2012-12-26", "Jól",                     "NRF",  ""
  "is-IS", "",     "2012-12-31", "Gamlárskvöld",            "NF",   ""

  "is-IS", "",     "2013-01-01", "Nýársdagur",              "NF",   ""
  "is-IS", "",     "2013-03-28", "Skírdagur",               "NRV",  ""
  "is-IS", "",     "2013-03-29", "Föstudaginn langi",       "NRV",  ""
  "is-IS", "",     "2013-03-31", "Páskadagur",              "NRV",  ""
  "is-IS", "",     "2013-04-01", "Annar í páskum",          "NRV",  ""
  "is-IS", "",     "2013-04-25", "Sumardagurinn fyrsti",    "NV",   ""
  "is-IS", "",     "2013-05-01", "Verkalýðsdagurinn",       "NF",   ""
  "is-IS", "",     "2013-05-09", "Uppstigningardagur",      "NRV",  ""
  "is-IS", "",     "2013-05-19", "Hvítasunnudagur",         "NRV",  ""
  "is-IS", "",     "2013-05-20", "Annar í hvítasunnu",      "NRV",  ""
  "is-IS", "",     "2013-06-02", "Sjómannadagurinn",        "NV",   ""
  "is-IS", "",     "2013-06-17", "Lýðveldisdagurinn",       "NF",   ""
  "is-IS", "",     "2013-08-05", "Frídagur verslunarmanna", "NV",   ""
  "is-IS", "",     "2013-12-24", "Jól",                     "NRF",  ""
  "is-IS", "",     "2013-12-25", "Jól",                     "NRF",  ""
  "is-IS", "",     "2013-12-26", "Jól",                     "NRF",  ""
  "is-IS", "",     "2013-12-31", "Gamlárskvöld",            "NF",   ""

  "is-IS", "",     "2014-01-01", "Nýársdagur",              "NF",   ""
  "is-IS", "",     "2014-04-17", "Skírdagur",               "NRV",  ""
  "is-IS", "",     "2014-04-18", "Föstudaginn langi",       "NRV",  ""
  "is-IS", "",     "2014-04-20", "Páskadagur",              "NRV",  ""
  "is-IS", "",     "2014-04-21", "Annar í páskum",          "NRV",  ""
  "is-IS", "",     "2014-04-24", "Sumardagurinn fyrsti",    "NV",   ""
  "is-IS", "",     "2014-05-01", "Verkalýðsdagurinn",       "NF",   ""
  "is-IS", "",     "2014-05-29", "Uppstigningardagur",      "NRV",  ""
  "is-IS", "",     "2014-06-09", "Annar í hvítasunnu",      "NRV",  ""
  "is-IS", "",     "2014-06-17", "Lýðveldisdagurinn",       "NF",   ""
  "is-IS", "",     "2014-08-04", "Frídagur verslunarmanna", "NV",   ""
  "is-IS", "",     "2014-12-24", "Jól",                     "NRF",  ""
  "is-IS", "",     "2014-12-25", "Jól",                     "NRF",  ""
  "is-IS", "",     "2014-12-26", "Jól",                     "NRF",  ""
  "is-IS", "",     "2014-12-31", "Gamlárskvöld",            "NF",   ""

  "is-IS", "",     "2015-01-01", "Nýársdagur",              "NF",   ""
  "is-IS", "",     "2015-04-02", "Skírdagur",               "NRV",  ""
  "is-IS", "",     "2015-04-03", "Föstudaginn langi",       "NRV",  ""
  "is-IS", "",     "2015-04-05", "Páskadagur",              "NRV",  ""
  "is-IS", "",     "2015-04-06", "Annar í páskum",          "NRV",  ""
  "is-IS", "",     "2015-04-23", "Sumardagurinn fyrsti",    "NV",   ""
  "is-IS", "",     "2015-05-01", "Verkalýðsdagurinn",       "NF",   ""
  "is-IS", "",     "2015-05-14", "Uppstigningardagur",      "NRV",  ""
  "is-IS", "",     "2015-05-25", "Annar í hvítasunnu",      "NRV",  ""
  "is-IS", "",     "2015-06-17", "Lýðveldisdagurinn",       "NF",   ""
  "is-IS", "",     "2015-08-03", "Frídagur verslunarmanna", "NV",   ""
  "is-IS", "",     "2015-12-24", "Jól",                     "NRF",  ""
  "is-IS", "",     "2015-12-25", "Jól",                     "NRF",  ""
  "is-IS", "",     "2015-12-26", "Jól",                     "NRF",  ""
  "is-IS", "",     "2015-12-31", "Gamlárskvöld",            "NF",   ""

  "is-IS", "",     "2016-01-01", "Nýársdagur",              "NF",   ""
  "is-IS", "",     "2016-03-24", "Skírdagur",               "NRV",  ""
  "is-IS", "",     "2016-03-25", "Föstudaginn langi",       "NRV",  ""
  "is-IS", "",     "2016-03-27", "Páskadagur",              "NRV",  ""
  "is-IS", "",     "2016-03-28", "Annar í páskum",          "NRV",  ""
  "is-IS", "",     "2016-04-21", "Sumardagurinn fyrsti",    "NV",   ""
  "is-IS", "",     "2016-05-01", "Verkalýðsdagurinn",       "NF",   ""
