# Locale,  Region, Date,         Description,              Type, Notes.
  "lv-LV", "",     "2012-01-01", "Jaunais Gads",                                       "NF",  ""
  "lv-LV", "",     "2012-04-06", "Lielā Piektdiena",                                   "NRV", ""
  "lv-LV", "",     "2012-04-08", "Lieldienas",                                         "NRV", ""
  "lv-LV", "",     "2012-04-09", "2. Lieldienas",                                      "NRV", ""
  "lv-LV", "",     "2012-05-01", "Darba svētki",                                       "NF",  ""
  "lv-LV", "",     "2012-05-04", "Latvijas Republikas Neatkarības atjaunošanas dienu", "NF",  "05-04"
  "lv-LV", "",     "2012-06-24", "Jāņi",                                               "NF",  ""
  "lv-LV", "",     "2012-11-19", "Latvijas Republikas proklamēšanas diena",            "NF",  "11-18"
  "lv-LV", "",     "2012-12-24", "Ziemassvētku vakars",                                "NRF", ""
  "lv-LV", "",     "2012-12-25", "Ziemassvētki",                                       "NRF", ""
  "lv-LV", "",     "2012-12-26", "2. Ziemassvētki",                                    "NRF", ""
  "lv-LV", "",     "2012-12-31", "Vecgada vakars",                                     "NF",  ""

  "lv-LV", "",     "2013-01-01", "Jaunais Gads",                                       "NF",  ""
  "lv-LV", "",     "2013-03-29", "Lielā Piektdiena",                                   "NRV", ""
  "lv-LV", "",     "2013-03-31", "Lieldienas",                                         "NRV", ""
  "lv-LV", "",     "2013-04-01", "2. Lieldienas",                                      "NRV", ""
  "lv-LV", "",     "2013-05-01", "Darba svētki",                                       "NF",  ""
  "lv-LV", "",     "2013-05-06", "Latvijas Republikas Neatkarības atjaunošanas dienu", "NF",  "05-04"
  "lv-LV", "",     "2013-06-24", "Jāņi",                                               "NF",  ""
  "lv-LV", "",     "2013-11-18", "Latvijas Republikas proklamēšanas diena",            "NF",  "11-18"
  "lv-LV", "",     "2013-12-24", "Ziemassvētku vakars",                                "NRF", ""
  "lv-LV", "",     "2013-12-25", "Ziemassvētki",                                       "NRF", ""
  "lv-LV", "",     "2013-12-26", "2. Ziemassvētki",                                    "NRF", ""
  "lv-LV", "",     "2013-12-31", "Vecgada vakars",                                     "NF",  ""

  "lv-LV", "",     "2014-01-01", "Jaunais Gads",                                       "NF",  ""
  "lv-LV", "",     "2014-04-18", "Lielā Piektdiena",                                   "NRV", ""
  "lv-LV", "",     "2014-04-20", "Lieldienas",                                         "NRV", ""
  "lv-LV", "",     "2014-04-21", "2. Lieldienas",                                      "NRV", ""
  "lv-LV", "",     "2014-05-01", "Darba svētki",                                       "NF",  ""
  "lv-LV", "",     "2014-05-05", "Latvijas Republikas Neatkarības atjaunošanas dienu", "NF",  "05-04"
  "lv-LV", "",     "2014-06-24", "Jāņi",                                               "NF",  ""
  "lv-LV", "",     "2014-11-18", "Latvijas Republikas proklamēšanas diena",            "NF",  "11-18"
  "lv-LV", "",     "2014-12-24", "Ziemassvētku vakars",                                "NRF", ""
  "lv-LV", "",     "2014-12-25", "Ziemassvētki",                                       "NRF", ""
  "lv-LV", "",     "2014-12-26", "2. Ziemassvētki",                                    "NRF", ""
  "lv-LV", "",     "2014-12-31", "Vecgada vakars",                                     "NF",  ""

  "lv-LV", "",     "2015-01-01", "Jaunais Gads",                                       "NF",  ""
  "lv-LV", "",     "2015-04-03", "Lielā Piektdiena",                                   "NRV", ""
  "lv-LV", "",     "2015-04-05", "Lieldienas",                                         "NRV", ""
  "lv-LV", "",     "2015-04-06", "2. Lieldienas",                                      "NRV", ""
  "lv-LV", "",     "2015-05-01", "Darba svētki",                                       "NF",  ""
  "lv-LV", "",     "2015-05-05", "Latvijas Republikas Neatkarības atjaunošanas dienu", "NF",  "05-04"
  "lv-LV", "",     "2015-06-24", "Jāņi",                                               "NF",  ""
  "lv-LV", "",     "2015-11-18", "Latvijas Republikas proklamēšanas diena",            "NF",  "11-18"
  "lv-LV", "",     "2015-12-24", "Ziemassvētku vakars",                                "NRF", ""
  "lv-LV", "",     "2015-12-25", "Ziemassvētki",                                       "NRF", ""
  "lv-LV", "",     "2015-12-26", "2. Ziemassvētki",                                    "NRF", ""
  "lv-LV", "",     "2015-12-31", "Vecgada vakars",                                     "NF",  ""

  "lv-LV", "",     "2016-01-01", "Jaunais Gads",                                       "NF",  ""
  "lv-LV", "",     "2016-03-25", "Lielā Piektdiena",                                   "NRV", ""
  "lv-LV", "",     "2016-03-27", "Lieldienas",                                         "NRV", ""
  "lv-LV", "",     "2016-03-27", "2. Lieldienas",                                      "NRV", ""
  "lv-LV", "",     "2016-05-01", "Darba svētki",                                       "NF",  ""
  "lv-LV", "",     "2016-05-05", "Latvijas Republikas Neatkarības atjaunošanas dienu", "NF",  "05-04"
  "lv-LV", "",     "2016-06-24", "Jāņi",                                               "NF",  ""
  "lv-LV", "",     "2016-11-18", "Latvijas Republikas proklamēšanas diena",            "NF",  "11-18"
  "lv-LV", "",     "2016-12-24", "Ziemassvētku vakars",                                "NRF", ""
  "lv-LV", "",     "2016-12-25", "Ziemassvētki",                                       "NRF", ""
  "lv-LV", "",     "2016-12-26", "2. Ziemassvētki",                                    "NRF", ""
  "lv-LV", "",     "2016-12-31", "Vecgada vakars",                                     "NF",  ""

