# Locale,  Region, Date,         Description,                         Type,  Notes.
  "pl-PL", "",     "2011-01-01", "Nowy Rok",                          "NF",  ""
  "pl-PL", "",     "2011-01-06", "Trzech Króli",                      "NRF", ""
  "pl-PL", "",     "2011-04-24", "Wielkanoc",                         "NRV", ""
  "pl-PL", "",     "2011-04-25", "Poniedziałek Wielkanocny",          "NRV", ""
  "pl-PL", "",     "2011-05-01", "Święto Pracy",                      "NF",  ""
  "pl-PL", "",     "2011-05-03", "Święto Konstytucji Trzeciego Maja", "NF",  ""
  "pl-PL", "",     "2011-06-12", "Zielone Świątki",                   "NRV", ""
  "pl-PL", "",     "2011-06-23", "Boże Ciało",                        "NRV", ""
  "pl-PL", "",     "2011-08-15", "Święto Wojska Polskiego",           "NF",  ""
  "pl-PL", "",     "2011-08-15", "Wniebowzięcia NMP",                 "NRF", ""
  "pl-PL", "",     "2011-11-01", "Wszystkich Świętych",               "NRF", ""
  "pl-PL", "",     "2011-11-11", "Dzień Niepodległości",              "NF",  ""
  "pl-PL", "",     "2011-12-25", "Boże Narodzenie (pierwszy dzień)",  "NRF", ""
  "pl-PL", "",     "2011-12-26", "Boże Narodzenie (drugi dzień)",     "NRF", ""

  "pl-PL", "",     "2012-01-01", "Nowy Rok",                          "NF",  ""
  "pl-PL", "",     "2012-01-06", "Trzech Króli",                      "NRF", ""
  "pl-PL", "",     "2012-04-08", "Wielkanoc",                         "NRV", ""
  "pl-PL", "",     "2012-04-09", "Poniedziałek Wielkanocny",          "NRV", ""
  "pl-PL", "",     "2012-05-01", "Święto Pracy",                      "NF",  ""
  "pl-PL", "",     "2012-05-03", "Święto Konstytucji Trzeciego Maja", "NF",  ""
  "pl-PL", "",     "2012-05-27", "Zielone Świątki",                   "NRV", ""
  "pl-PL", "",     "2012-06-07", "Boże Ciało",                        "NRV", ""
  "pl-PL", "",     "2012-08-15", "Święto Wojska Polskiego",           "NF",  ""
  "pl-PL", "",     "2012-08-15", "Wniebowzięcia NMP",                 "NRF", ""
  "pl-PL", "",     "2012-11-01", "Wszystkich Świętych",               "NRF", ""
  "pl-PL", "",     "2012-11-11", "Dzień Niepodległości",              "NF",  ""
  "pl-PL", "",     "2012-12-25", "Boże Narodzenie (pierwszy dzień)",  "NRF", ""
