# Locale,  Region, Date,         Description,                    Type, Notes.
  "pt-PT", "",     "2011-01-01", "Ano Novo",                     "N",  ""
  "pt-PT", "",     "2011-03-08", "Carnaval",                     "N",  ""
  "pt-PT", "",     "2011-04-22", "Sexta-feira Santa",            "N",  ""
  "pt-PT", "",     "2011-04-24", "Páscoa",                       "N",  ""
  "pt-PT", "",     "2011-04-25", "Dia da Liberdade",             "N",  ""
  "pt-PT", "",     "2011-05-01", "Dia do Trabalhador",           "N",  ""
  "pt-PT", "",     "2011-06-23", "Corpo de Deus",                "N",  ""
  "pt-PT", "",     "2011-06-10", "Dia de Portugal",              "N",  ""
  "pt-PT", "",     "2011-08-15", "Assunção de Nossa Senhora",    "N",  ""
  "pt-PT", "",     "2011-10-05", "Implantação da República",     "N",  ""
  "pt-PT", "",     "2011-11-01", "Todos os Santos",              "N",  ""
  "pt-PT", "",     "2011-12-01", "Restauração da Independência", "N",  ""
  "pt-PT", "",     "2011-12-08", "Imaculada Conceição",          "N",  ""
  "pt-PT", "",     "2011-12-25", "Natal",                        "N",  ""

  "pt-PT", "",     "2012-01-01", "Ano Novo",                     "N",  ""
  "pt-PT", "",     "2012-02-21", "Carnaval",                     "N",  ""
  "pt-PT", "",     "2012-04-06", "Sexta-feira Santa",            "N",  ""
  "pt-PT", "",     "2012-04-08", "Páscoa",                       "N",  ""
  "pt-PT", "",     "2012-04-25", "Dia da Liberdade",             "N",  ""
  "pt-PT", "",     "2012-05-01", "Dia do Trabalhador",           "N",  ""
  "pt-PT", "",     "2012-06-07", "Corpo de Deus",                "N",  ""
  "pt-PT", "",     "2012-06-10", "Dia de Portugal",              "N",  ""
  "pt-PT", "",     "2012-08-15", "Assunção de Nossa Senhora",    "N",  ""
  "pt-PT", "",     "2012-10-05", "Implantação da República",     "N",  ""
  "pt-PT", "",     "2012-11-01", "Todos os Santos",              "N",  ""
  "pt-PT", "",     "2012-12-01", "Restauração da Independência", "N",  ""
  "pt-PT", "",     "2012-12-08", "Imaculada Conceição",          "N",  ""
  "pt-PT", "",     "2012-12-25", "Natal",                        "N",  ""

  "pt-PT", "",     "2013-01-01", "Ano Novo",                     "NF",  ""
  "pt-PT", "",     "2013-02-12", "Carnaval",                     "NRV", ""
  "pt-PT", "",     "2013-03-29", "Sexta-feira Santa",            "NRV", ""
  "pt-PT", "",     "2013-03-31", "Páscoa",                       "NRV", ""
  "pt-PT", "",     "2013-04-25", "Dia da Liberdade",             "NF",  ""
  "pt-PT", "",     "2013-05-01", "Dia do Trabalhador",           "NF",  ""
  "pt-PT", "",     "2013-05-30", "Corpo de Deus",                "NRV", ""
  "pt-PT", "",     "2013-06-10", "Dia de Portugal",              "NF",  ""
  "pt-PT", "",     "2013-08-15", "Assunção de Nossa Senhora",    "NF",  ""
  "pt-PT", "",     "2013-10-05", "Implantação da República",     "NF",  ""
  "pt-PT", "",     "2013-11-01", "Todos os Santos",              "NF",  ""
  "pt-PT", "",     "2013-12-01", "Restauração da Independência", "NF",  ""
  "pt-PT", "",     "2013-12-08", "Imaculada Conceição",          "NF",  ""
  "pt-PT", "",     "2013-12-25", "Natal",                        "NF",  ""

  "pt-PT", "",     "2014-01-01", "Ano Novo",                     "NF",  ""
  "pt-PT", "",     "2014-03-04", "Carnaval",                     "NRV", ""
  "pt-PT", "",     "2014-04-18", "Sexta-feira Santa",            "NRV", ""
  "pt-PT", "",     "2014-04-20", "Páscoa",                       "NRV", ""
  "pt-PT", "",     "2014-04-25", "Dia da Liberdade",             "NF",  ""
  "pt-PT", "",     "2014-05-01", "Dia do Trabalhador",           "NF",  ""
  "pt-PT", "",     "2014-06-19", "Corpo de Deus",                "NRV", ""
  "pt-PT", "",     "2014-06-10", "Dia de Portugal",              "NF",  ""
  "pt-PT", "",     "2014-08-15", "Assunção de Nossa Senhora",    "NF",  ""
  "pt-PT", "",     "2014-10-05", "Implantação da República",     "NF",  ""
  "pt-PT", "",     "2014-11-01", "Todos os Santos",              "NF",  ""
  "pt-PT", "",     "2014-12-01", "Restauração da Independência", "NF",  ""
  "pt-PT", "",     "2014-12-08", "Imaculada Conceição",          "NF",  ""
  "pt-PT", "",     "2014-12-25", "Natal",                        "NF",  ""
