# Locale,  Region, Date,         Description,              Type, Notes.
  "sv-SE", "",     "2011-01-01", "Nyårsdagen",             "N",  ""
  "sv-SE", "",     "2011-01-06", "Trettondedag jul",       "N",  ""
  "sv-SE", "",     "2011-04-22", "Långfredagen",           "N",  ""
  "sv-SE", "",     "2011-04-24", "Påskdagen",              "N",  ""
  "sv-SE", "",     "2011-04-25", "Annandag påsk",          "N",  ""
  "sv-SE", "",     "2011-04-30", "Valborgmässoafton",      "N",  ""
  "sv-SE", "",     "2011-05-01", "Första maj",             "N",  ""
  "sv-SE", "",     "2011-06-02", "Kristi Himmelsfärdsdag", "N",  ""
  "sv-SE", "",     "2011-06-06", "Nationaldagen",          "N",  ""
  "sv-SE", "",     "2011-06-12", "Pingstdagen",            "N",  ""
  "sv-SE", "",     "2011-06-24", "Midsommarafton",         "N",  ""
  "sv-SE", "",     "2011-06-25", "Midsommardagen",         "N",  ""
  "sv-SE", "",     "2011-11-05", "Alla Helgons Dag",       "N",  ""
  "sv-SE", "",     "2011-12-24", "Julafton",               "N",  ""
  "sv-SE", "",     "2011-12-25", "Juldagen",               "N",  ""
  "sv-SE", "",     "2011-12-26", "Annandag jul",           "N",  ""
  "sv-SE", "",     "2011-12-31", "Nyårsafton",             "N",  ""

  "sv-SE", "",     "2012-01-01", "Nyårsdagen",             "N",  ""
  "sv-SE", "",     "2012-01-06", "Trettondedag jul",       "N",  ""
  "sv-SE", "",     "2012-04-06", "Långfredagen",           "N",  ""
  "sv-SE", "",     "2012-04-08", "Påskdagen",              "N",  ""
  "sv-SE", "",     "2012-04-09", "Annandag påsk",          "N",  ""
  "sv-SE", "",     "2012-04-30", "Valborgmässoafton",      "N",  ""
  "sv-SE", "",     "2012-05-01", "Första maj",             "N",  ""
  "sv-SE", "",     "2012-05-17", "Kristi Himmelsfärdsdag", "N",  ""
  "sv-SE", "",     "2012-05-27", "Pingstdagen",            "N",  ""
  "sv-SE", "",     "2012-06-06", "Nationaldagen",          "N",  ""
  "sv-SE", "",     "2012-06-22", "Midsommarafton",         "N",  ""
  "sv-SE", "",     "2012-06-23", "Midsommardagen",         "N",  ""
  "sv-SE", "",     "2012-11-03", "Alla Helgons Dag",       "N",  ""
  "sv-SE", "",     "2012-12-24", "Julafton",               "N",  ""
  "sv-SE", "",     "2012-12-25", "Juldagen",               "N",  ""
  "sv-SE", "",     "2012-12-26", "Annandag jul",           "N",  ""
  "sv-SE", "",     "2012-12-31", "Nyårsafton",             "N",  ""
