# Locale,  Region, Date,         Description,             Type, Notes.
  "nb-SJ", "",     "2012-01-01", "Nyttårsdag",            "N",  ""
  "nb-SJ", "",     "2012-02-19", "Fastelavn",             "N",  ""
  "nb-SJ", "",     "2012-04-01", "Palmesøndag",           "N",  ""
  "nb-SJ", "",     "2012-04-05", "Skjærtorsdag",          "N",  ""
  "nb-SJ", "",     "2012-04-06", "Langfredag",            "N",  ""
  "nb-SJ", "",     "2012-04-08", "Påskedag",              "N",  ""
  "nb-SJ", "",     "2012-04-09", "Påskedag",              "N",  ""
  "nb-SJ", "",     "2012-05-01", "Offentlig Høytidsdag",  "N",  ""
  "nb-SJ", "",     "2012-05-08", "Frigjøringsdag 1945",   "N",  ""
  "nb-SJ", "",     "2012-05-17", "Grunnlovsdag",          "N",  ""
  "nb-SJ", "",     "2012-05-17", "Kristi Himmelfartsdag", "N",  ""
  "nb-SJ", "",     "2012-05-27", "Pinsedag",              "N",  ""
  "nb-SJ", "",     "2012-05-28", "Pinsedag",              "N",  ""
  "nb-SJ", "",     "2012-12-24", "Julaften",              "N",  ""
  "nb-SJ", "",     "2012-12-25", "Juledag",               "N",  ""
  "nb-SJ", "",     "2012-12-26", "Juledag",               "N",  ""
  "nb-SJ", "",     "2012-12-31", "Nyttårsaften",          "N",  ""

  "nb-SJ", "",     "2013-01-01", "Nyttårsdag",            "NF",   ""
  "nb-SJ", "",     "2013-02-10", "Fastelavn",             "NRV",  ""
  "nb-SJ", "",     "2013-03-24", "Palmesøndag",           "NRV",  ""
  "nb-SJ", "",     "2013-03-28", "Skjærtorsdag",          "NRV",  ""
  "nb-SJ", "",     "2013-03-29", "Langfredag",            "NRV",  ""
  "nb-SJ", "",     "2013-03-31", "Påskedag",              "NRV",  ""
  "nb-SJ", "",     "2013-04-01", "Påskedag",              "NRV",  ""
  "nb-SJ", "",     "2013-05-01", "Offentlig Høytidsdag",  "NF",   ""
  "nb-SJ", "",     "2013-05-08", "Frigjøringsdag 1945",   "NF",   ""
  "nb-SJ", "",     "2013-05-17", "Grunnlovsdag",          "NF",   ""
  "nb-SJ", "",     "2013-05-09", "Kristi Himmelfartsdag", "NRV",  ""
  "nb-SJ", "",     "2013-05-19", "Pinsedag",              "NRV",  ""
  "nb-SJ", "",     "2013-05-20", "Pinsedag",              "NRV",  ""
  "nb-SJ", "",     "2013-12-24", "Julaften",              "NRF",  ""
  "nb-SJ", "",     "2013-12-25", "Juledag",               "NRF",  ""
  "nb-SJ", "",     "2013-12-26", "Juledag",               "NRF",  ""
  "nb-SJ", "",     "2013-12-31", "Nyttårsaften",          "NF",   ""

  "nb-SJ", "",     "2014-01-01", "Nyttårsdag",            "NF",   ""
  "nb-SJ", "",     "2014-03-02", "Fastelavn",             "NRV",  ""
  "nb-SJ", "",     "2014-04-13", "Palmesøndag",           "NRV",  ""
  "nb-SJ", "",     "2014-04-17", "Skjærtorsdag",          "NRV",  ""
  "nb-SJ", "",     "2014-04-18", "Langfredag",            "NRV",  ""
  "nb-SJ", "",     "2014-04-20", "Påskedag",              "NRV",  ""
  "nb-SJ", "",     "2014-04-21", "Påskedag",              "NRV",  ""
  "nb-SJ", "",     "2014-05-01", "Offentlig Høytidsdag",  "NF",   ""
  "nb-SJ", "",     "2014-05-08", "Frigjøringsdag 1945",   "NF",   ""
  "nb-SJ", "",     "2014-05-17", "Grunnlovsdag",          "NF",   ""
  "nb-SJ", "",     "2014-05-29", "Kristi Himmelfartsdag", "NRV",  ""
  "nb-SJ", "",     "2014-06-08", "Pinsedag",              "NRV",  ""
  "nb-SJ", "",     "2014-06-09", "Pinsedag",              "NRV",  ""
  "nb-SJ", "",     "2014-12-24", "Julaften",              "NRF",  ""
