# Locale,  Region, Date,         Description,             Type, Notes.
  "tr-TR", "",     "2012-01-01", "Yılbaşı",                                "NF",  ""
  "tr-TR", "",     "2012-04-23", "Ulusal Egemenlik ve Çocuk Bayramı",      "NF",  ""
  "tr-TR", "",     "2012-05-01", "Emek ve Dayanışma Günü",                 "NF",  ""
  "tr-TR", "",     "2012-05-19", "Atatürk'ü Anma Gençlik ve Spor Bayramı", "NF",  ""
  "tr-TR", "",     "2012-08-30", "Zafer Bayramı",                          "NF",  ""
  "tr-TR", "",     "2012-10-29", "Cumhuriyet Bayramı",                     "NF",  ""
  "tr-TR", "",     "2012-08-19", "Ramazan Bayramı 1",                      "NRV", ""
  "tr-TR", "",     "2012-08-20", "Ramazan Bayramı 2",                      "NRV", ""
  "tr-TR", "",     "2012-08-21", "Ramazan Bayramı 3",                      "NRV", ""
  "tr-TR", "",     "2012-10-25", "Kurban Bayramı 1",                       "NRV", ""
  "tr-TR", "",     "2012-10-26", "Kurban Bayramı 2",                       "NRV", ""
  "tr-TR", "",     "2012-10-27", "Kurban Bayramı 3",                       "NRV", ""
  "tr-TR", "",     "2012-10-28", "Kurban Bayramı 4",                       "NRV", ""

  "tr-TR", "",     "2013-01-01", "Yılbaşı",                                "NF",  ""
  "tr-TR", "",     "2013-04-23", "Ulusal Egemenlik ve Çocuk Bayramı",      "NF",  ""
  "tr-TR", "",     "2013-05-01", "Emek ve Dayanışma Günü",                 "NF",  ""
  "tr-TR", "",     "2013-05-19", "Atatürk'ü Anma Gençlik ve Spor Bayramı", "NF",  ""
  "tr-TR", "",     "2013-08-30", "Zafer Bayramı",                          "NF",  ""
  "tr-TR", "",     "2013-10-29", "Cumhuriyet Bayramı",                     "NF",  ""
  "tr-TR", "",     "2013-08-08", "Ramazan Bayramı 1",                      "NRV", ""
  "tr-TR", "",     "2013-08-09", "Ramazan Bayramı 2",                      "NRV", ""
  "tr-TR", "",     "2013-08-10", "Ramazan Bayramı 3",                      "NRV", ""
  "tr-TR", "",     "2013-10-15", "Kurban Bayramı 1",                       "NRV", ""
  "tr-TR", "",     "2013-10-16", "Kurban Bayramı 2",                       "NRV", ""
  "tr-TR", "",     "2013-10-17", "Kurban Bayramı 3",                       "NRV", ""
  "tr-TR", "",     "2013-10-18", "Kurban Bayramı 4",                       "NRV", ""

  "tr-TR", "",     "2014-01-01", "Yılbaşı",                                "NF",  ""
  "tr-TR", "",     "2014-04-23", "Ulusal Egemenlik ve Çocuk Bayramı",      "NF",  ""
  "tr-TR", "",     "2014-05-01", "Emek ve Dayanışma Günü",                 "NF",  ""
  "tr-TR", "",     "2014-05-19", "Atatürk'ü Anma Gençlik ve Spor Bayramı", "NF",  ""
  "tr-TR", "",     "2014-08-30", "Zafer Bayramı",                          "NF",  ""
  "tr-TR", "",     "2014-10-29", "Cumhuriyet Bayramı",                     "NF",  ""
  "tr-TR", "",     "2014-07-29", "Ramazan Bayramı 1",                      "NRV", ""
  "tr-TR", "",     "2014-07-30", "Ramazan Bayramı 2",                      "NRV", ""
  "tr-TR", "",     "2014-07-31", "Ramazan Bayramı 3",                      "NRV", ""
  "tr-TR", "",     "2014-10-05", "Kurban Bayramı 1",                       "NRV", ""
  "tr-TR", "",     "2014-10-06", "Kurban Bayramı 2",                       "NRV", ""
  "tr-TR", "",     "2014-10-07", "Kurban Bayramı 3",                       "NRV", ""
  "tr-TR", "",     "2014-10-08", "Kurban Bayramı 4",                       "NRV", ""
