# Locale,  Region, Date,         Description,                           Type,  Notes.
  "en-US", "",     "2011-01-01", "New Year's Day",                      "NF",  ""
  "en-US", "",     "2011-01-17", "Birthday of Martin Luther King, Jr.", "V",   ""
  "en-US", "",     "2012-02-21", "Washington's Birthday",               "NV",  ""
  "en-US", "MA",   "2011-04-18", "Patriots' Day",                       "NV",  ""
  "en-US", "ME",   "2011-04-18", "Patriots' Day",                       "NV",  ""
  "en-US", "",     "2011-05-30", "Memorial Day",                        "NV",  ""
  "en-US", "",     "2011-07-04", "Independence Day",                    "NF",  ""
  "en-US", "",     "2011-09-05", "Labor Day",                           "NV",  ""
  "en-US", "",     "2011-10-10", "Columbus Day",                        "NV",  ""
  "en-US", "",     "2011-11-11", "Veterans Day",                        "NV",  ""
  "en-US", "",     "2011-11-24", "Thanksgiving Day",                    "NV",  ""
  "en-US", "",     "2011-12-25", "Christmas Day",                       "NRF", ""

  "es-US", "",     "2011-01-01", "Año Neuvo",                           "NF",  ""
  "es-US", "",     "2011-01-17", "Cumpleaños de Martin Luther King, Jr.", "V", ""
  "es-US", "",     "2012-02-21", "Día del Presidente",                  "NV",  ""
  "es-US", "MA",   "2011-04-18", "Día del Patriota",                    "NV",  ""
  "es-US", "ME",   "2011-04-18", "Día del Patriota",                    "NV",  ""
  "es-US", "",     "2011-05-30", "Día de los Caídos",                   "NV",  ""
  "es-US", "",     "2011-07-04", "Día de la Independiencia",            "NF",  ""
  "es-US", "",     "2011-09-05", "Día del Trabajo",                     "NV",  ""
  "es-US", "",     "2011-10-10", "Día de Columbus",                     "NV",  ""
  "es-US", "",     "2011-11-11", "Día de los Veteranos",                "NV",  ""
  "es-US", "",     "2011-11-24", "Día de Acción de Gracias",            "NV",  ""
  "es-US", "",     "2011-12-25", "Navidad",                             "NRF", ""

  "en-US", "",     "2012-01-01", "New Year's Day",                      "NF",  ""
  "en-US", "",     "2012-01-02", "New Year's Day",                      "NV",  ""
  "en-US", "",     "2012-01-17", "Birthday of Martin Luther King, Jr.", "V",   ""
  "en-US", "",     "2012-02-20", "Washington's Birthday",               "NV",  ""
  "en-US", "MA",   "2012-04-16", "Patriots' Day",                       "NV",  ""
  "en-US", "ME",   "2012-04-16", "Patriots' Day",                       "NV",  ""
  "en-US", "",     "2012-05-28", "Memorial Day",                        "NV",  ""
  "en-US", "",     "2012-07-04", "Independence Day",                    "NF",  ""
  "en-US", "",     "2012-09-03", "Labor Day",                           "NV",  ""
  "en-US", "",     "2012-10-08", "Columbus Day",                        "NV",  ""
  "en-US", "",     "2012-11-12", "Veterans Day",                        "NV",  ""
  "en-US", "",     "2012-11-22", "Thanksgiving Day",                    "NV",  ""
  "en-US", "",     "2012-12-25", "Christmas Day",                       "NRF", ""

  "es-US", "",     "2012-01-01", "Año Neuvo",                           "NF",  ""
  "es-US", "",     "2012-01-02", "Año Neuvo",                           "NF",  ""
  "es-US", "",     "2012-01-17", "Cumpleaños de Martin Luther King, Jr.", "V", ""
  "es-US", "",     "2012-02-20", "Día del Presidente",                  "NV",  ""
  "es-US", "MA",   "2012-04-16", "Día del Patriota",                    "NV",  ""
  "es-US", "ME",   "2012-04-16", "Día del Patriota",                    "NV",  ""
  "es-US", "",     "2012-05-28", "Día de los Caídos",                   "NV",  ""
  "es-US", "",     "2012-07-04", "Día de la Independiencia",            "NF",  ""
  "es-US", "",     "2012-09-03", "Día del Trabajo",                     "NV",  ""
  "es-US", "",     "2012-10-08", "Día de Columbus",                     "NV",  ""
  "es-US", "",     "2012-11-12", "Día de los Veteranos",                "NV",  ""
  "es-US", "",     "2012-11-22", "Día de Acción de Gracias",            "NV",  ""
  "es-US", "",     "2012-12-25", "Navidad",                             "NRF", ""

  "en-US", "",     "2013-01-01", "New Year's Day",                      "NF",  ""
  "en-US", "",     "2013-01-21", "Birthday of Martin Luther King, Jr.", "V",   ""
  "en-US", "",     "2013-02-18", "Washington's Birthday",               "NV",  ""
  "en-US", "MA",   "2013-04-15", "Patriots' Day",                       "NV",  ""
  "en-US", "ME",   "2013-04-15", "Patriots' Day",                       "NV",  ""
  "en-US", "",     "2013-05-27", "Memorial Day",                        "NV",  ""
  "en-US", "",     "2013-07-04", "Independence Day",                    "NF",  ""
  "en-US", "",     "2013-09-02", "Labor Day",                           "NV",  ""
  "en-US", "",     "2013-10-14", "Columbus Day",                        "NV",  ""
  "en-US", "",     "2013-11-11", "Veterans Day",                        "NV",  ""
  "en-US", "",     "2013-11-28", "Thanksgiving Day",                    "NV",  ""
  "en-US", "",     "2013-12-25", "Christmas Day",                       "NRF", ""

  "es-US", "",     "2013-01-01", "Año Neuvo",                           "NF",  ""
  "es-US", "",     "2013-01-21", "Cumpleaños de Martin Luther King, Jr.", "V", ""
  "es-US", "",     "2013-02-18", "Día del Presidente",                  "NV",  ""
  "es-US", "MA",   "2013-04-15", "Día del Patriota",                    "NV",  ""
  "es-US", "ME",   "2013-04-15", "Día del Patriota",                    "NV",  ""
  "es-US", "",     "2013-05-27", "Día de los Caídos",                   "NV",  ""
  "es-US", "",     "2013-07-04", "Día de la Independiencia",            "NF",  ""
  "es-US", "",     "2013-09-02", "Día del Trabajo",                     "NV",  ""
  "es-US", "",     "2013-10-14", "Día de Columbus",                     "NV",  ""
  "es-US", "",     "2013-11-11", "Día de los Veteranos",                "NV",  ""
  "es-US", "",     "2013-11-28", "Día de Acción de Gracias",            "NV",  ""
  "es-US", "",     "2013-12-25", "Navidad",                             "NRF", ""

  "en-US", "",     "2014-01-01", "New Year's Day",                      "NF",  ""
  "en-US", "",     "2014-01-20", "Birthday of Martin Luther King, Jr.", "V",   ""
  "en-US", "",     "2014-02-17", "Washington's Birthday",               "NV",  ""
  "en-US", "MA",   "2014-04-21", "Patriots' Day",                       "NV",  ""
  "en-US", "ME",   "2014-04-21", "Patriots' Day",                       "NV",  ""
  "en-US", "",     "2014-05-26", "Memorial Day",                        "NV",  ""
  "en-US", "",     "2014-07-04", "Independence Day",                    "NF",  ""
  "en-US", "",     "2014-09-01", "Labor Day",                           "NV",  ""
  "en-US", "",     "2014-10-13", "Columbus Day",                        "NV",  ""
  "en-US", "",     "2014-11-11", "Veterans Day",                        "NV",  ""
  "en-US", "",     "2014-11-27", "Thanksgiving Day",                    "NV",  ""
  "en-US", "",     "2014-12-25", "Christmas Day",                       "NRF", ""

  "es-US", "",     "2014-01-01", "Año Neuvo",                           "NF",  ""
  "es-US", "",     "2014-01-20", "Cumpleaños de Martin Luther King, Jr.", "V", ""
  "es-US", "",     "2014-02-17", "Día del Presidente",                  "NV",  ""
  "es-US", "MA",   "2014-04-21", "Día del Patriota",                    "NV",  ""
  "es-US", "ME",   "2014-04-21", "Día del Patriota",                    "NV",  ""
  "es-US", "",     "2014-05-26", "Día de los Caídos",                   "NV",  ""
  "es-US", "",     "2014-07-04", "Día de la Independiencia",            "NF",  ""
  "es-US", "",     "2014-09-01", "Día del Trabajo",                     "NV",  ""
  "es-US", "",     "2014-10-13", "Día de Columbus",                     "NV",  ""
  "es-US", "",     "2014-11-11", "Día de los Veteranos",                "NV",  ""
  "es-US", "",     "2014-11-27", "Día de Acción de Gracias",            "NV",  ""
  "es-US", "",     "2014-12-25", "Navidad",                             "NRF", ""

