# Locale,  Region, Date,         Description,              Type, Notes.
  "en-ZA", "",     "2012-01-01", "New Year's Day",         "NF",  ""
  "en-ZA", "",     "2012-03-21", "Human Rights Day",       "NF",  ""
  "en-ZA", "",     "2012-04-06", "Good Friday",            "NRV", ""
  "en-ZA", "",     "2012-04-09", "Family Day",             "NV",  ""
  "en-ZA", "",     "2012-04-27", "Freedom Day",            "NF",  ""
  "en-ZA", "",     "2012-05-01", "Workers' Day",           "NF",  ""
  "en-ZA", "",     "2012-06-16", "Youth Day",              "NF",  ""
  "en-ZA", "",     "2012-08-09", "National Women's Day",   "NF",  ""
  "en-ZA", "",     "2012-09-24", "Heritage Day",           "NF",  ""
  "en-ZA", "",     "2012-12-17", "Day of Reconciliation",  "NF",  ""
  "en-ZA", "",     "2012-12-25", "Christmas Day",          "NF",  ""
  "en-ZA", "",     "2012-12-26", "Day of Goodwill",        "NF",  ""

  "en-ZA", "",     "2013-01-01", "New Year's Day",         "NF",  ""
  "en-ZA", "",     "2013-03-21", "Human Rights Day",       "NF",  ""
  "en-ZA", "",     "2013-03-29", "Good Friday",            "NRV", ""
  "en-ZA", "",     "2013-04-01", "Family Day",             "NV",  ""
  "en-ZA", "",     "2013-04-27", "Freedom Day",            "NF",  ""
  "en-ZA", "",     "2013-05-01", "Workers' Day",           "NF",  ""
  "en-ZA", "",     "2013-06-16", "Youth Day",              "NF",  ""
  "en-ZA", "",     "2013-08-09", "National Women's Day",   "NF",  ""
  "en-ZA", "",     "2013-09-24", "Heritage Day",           "NF",  ""
  "en-ZA", "",     "2013-12-17", "Day of Reconciliation",  "NF",  ""
  "en-ZA", "",     "2013-12-25", "Christmas Day",          "NF",  ""
  "en-ZA", "",     "2013-12-26", "Day of Goodwill",        "NF",  ""

  "en-ZA", "",     "2014-01-01", "New Year's Day",         "NF",  ""
  "en-ZA", "",     "2014-03-21", "Human Rights Day",       "NF",  ""
  "en-ZA", "",     "2014-04-18", "Good Friday",            "NRV", ""
  "en-ZA", "",     "2014-04-21", "Family Day",             "NV",  ""
  "en-ZA", "",     "2014-04-27", "Freedom Day",            "NF",  ""
  "en-ZA", "",     "2014-05-01", "Workers' Day",           "NF",  ""
  "en-ZA", "",     "2014-06-16", "Youth Day",              "NF",  ""
  "en-ZA", "",     "2014-08-09", "National Women's Day",   "NF",  ""
  "en-ZA", "",     "2014-09-24", "Heritage Day",           "NF",  ""
  "en-ZA", "",     "2014-12-17", "Day of Reconciliation",  "NF",  ""
  "en-ZA", "",     "2014-12-25", "Christmas Day",          "NF",  ""
  "en-ZA", "",     "2014-12-26", "Day of Goodwill",        "NF",  ""

  "en-ZA", "",     "2015-01-01", "New Year's Day",         "NF",  ""
  "en-ZA", "",     "2015-03-21", "Human Rights Day",       "NF",  ""
  "en-ZA", "",     "2015-04-03", "Good Friday",            "NRV", ""
  "en-ZA", "",     "2015-04-06", "Family Day",             "NV",  ""
  "en-ZA", "",     "2015-04-27", "Freedom Day",            "NF",  ""
  "en-ZA", "",     "2015-05-01", "Workers' Day",           "NF",  ""
  "en-ZA", "",     "2015-06-16", "Youth Day",              "NF",  ""
  "en-ZA", "",     "2015-08-09", "National Women's Day",   "NF",  ""
  "en-ZA", "",     "2015-09-24", "Heritage Day",           "NF",  ""
  "en-ZA", "",     "2015-12-17", "Day of Reconciliation",  "NF",  ""
  "en-ZA", "",     "2015-12-25", "Christmas Day",          "NF",  ""
  "en-ZA", "",     "2015-12-26", "Day of Goodwill",        "NF",  ""

  "en-ZA", "",     "2016-01-01", "New Year's Day",         "NF",  ""
  "en-ZA", "",     "2016-03-21", "Human Rights Day",       "NF",  ""
  "en-ZA", "",     "2016-03-25", "Good Friday",            "NRV", ""
  "en-ZA", "",     "2016-03-28", "Family Day",             "NV",  ""
  "en-ZA", "",     "2016-04-27", "Freedom Day",            "NF",  ""
  "en-ZA", "",     "2016-05-01", "Workers' Day",           "NF",  ""
  "en-ZA", "",     "2016-06-16", "Youth Day",              "NF",  ""
  "en-ZA", "",     "2016-08-09", "National Women's Day",   "NF",  ""
  "en-ZA", "",     "2016-09-24", "Heritage Day",           "NF",  ""
  "en-ZA", "",     "2016-12-17", "Day of Reconciliation",  "NF",  ""
  "en-ZA", "",     "2016-12-25", "Christmas Day",          "NF",  ""
  "en-ZA", "",     "2016-12-26", "Day of Goodwill",        "NF",  ""
