"locale","region","date","description","type","notes"
"da-DK","","2025-01-01","Nytårsdag","NF",""
"da-DK","","2025-04-17","Skærtorsdag","NRV",""
"da-DK","","2025-04-18","Langfredag","NRV",""
"da-DK","","2025-04-20","Påskedag","NRV",""
"da-DK","","2025-04-21","Anden påskedag","NRV",""
"da-DK","","2025-05-29","Kristi himmelfartsdag","NRV",""
"da-DK","","2025-06-05","Grundlovsdag","NF",""
"da-DK","","2025-06-08","Pinsedag","NRV",""
"da-DK","","2025-06-09","Anden pinsedag","NRV",""
"da-DK","","2025-12-25","Juledag","NRF",""
"da-DK","","2025-12-26","Anden juledag","NRF",""
