"locale","region","date","description","type","notes"
"de-AT","","2018-01-01","Neujahr","NF",""
"de-AT","","2018-01-06","Heilige drei Könige","NRF",""
"de-AT","2","2018-03-19","Josef","RF",""
"de-AT","6","2018-03-19","Josef","RF",""
"de-AT","7","2018-03-19","Josef","RF",""
"de-AT","8","2018-03-19","Josef","RF",""
"de-AT","","2018-03-30","Karfreitag","NRV",""
"de-AT","","2018-04-01","Ostersonntag","NRV",""
"de-AT","","2018-04-02","Ostermontag","NRV",""
"de-AT","","2018-05-01","Staatsfeiertag","NF",""
"de-AT","4","2018-05-04","Florian","F",""
"de-AT","","2018-05-10","Christi Himmelfahrt","NRV",""
"de-AT","","2018-05-20","Pfingstsonntag","NRV",""
"de-AT","","2018-05-21","Pfingstmontag","NRV",""
"de-AT","","2018-05-31","Fronleichnam","NRV",""
"de-AT","","2018-08-15","Mariä Himmelfahrt","NRF",""
"de-AT","5","2018-09-24","Rupert","F",""
"de-AT","2","2018-10-10","Tag der Volksabstimmung","F",""
"de-AT","","2018-10-26","Nationalfeiertag","NF",""
"de-AT","","2018-11-01","Allerheiligen","NRF",""
"de-AT","1","2018-11-11","Martin","F",""
"de-AT","3","2018-11-15","Leopold","F",""
"de-AT","9","2018-11-15","Leopold","F",""
"de-AT","","2018-12-08","Mariä Empfängnis","NRF",""
"de-AT","","2018-12-24","Heiliger Abend","NRF",""
"de-AT","","2018-12-25","Christtag","NRF",""
"de-AT","","2018-12-26","Stefanitag","NF",""
"de-AT","","2018-12-31","Silvester","NF",""
