"locale","region","date","description","type","notes"
"de-BE","","2023-01-01","Neujahr","NF",""
"de-BE","","2023-04-09","Ostern","NRV",""
"de-BE","","2023-04-10","Ostermontag","NRV",""
"de-BE","","2023-05-01","Tag der Arbeit","NF",""
"de-BE","","2023-05-18","Christi Himmelfahrt","NRV",""
"de-BE","","2023-05-28","Pfingsten","NRV",""
"de-BE","","2023-05-29","Pfingstmontag","NRV",""
"de-BE","","2023-07-21","Nationalfeiertag","NF",""
"de-BE","","2023-08-15","Mariä Himmelfahrt","NRF",""
"de-BE","","2023-11-01","Allerheiligen","NRF",""
"de-BE","","2023-11-11","Waffenstillstand","NF",""
"de-BE","","2023-12-25","Weihnacht","NRF",""
