"locale","region","date","description","type","notes"
"de-CH","","2024-01-01","Neujahrstag","NF",""
"de-CH","BE","2024-01-02","Berchtoldstag","F",""
"de-CH","JU","2024-01-02","Berchtoldstag","F",""
"de-CH","TG","2024-01-02","Berchtoldstag","F",""
"de-CH","VD","2024-01-02","Berchtoldstag","F",""
"de-CH","SZ","2024-01-06","Heilige Drei Könige","RF",""
"de-CH","TI","2024-01-06","Heilige Drei Könige","RF",""
"de-CH","UR","2024-01-06","Heilige Drei Könige","RF",""
"de-CH","NW","2024-03-19","Josefstag","RF",""
"de-CH","SZ","2024-03-19","Josefstag","RF",""
"de-CH","TI","2024-03-19","Josefstag","RF",""
"de-CH","UR","2024-03-19","Josefstag","RF",""
"de-CH","VS","2024-03-19","Josefstag","RF",""
"de-CH","AG","2024-03-29","Karfreitag","RV",""
"de-CH","AI","2024-03-29","Karfreitag","RV",""
"de-CH","AR","2024-03-29","Karfreitag","RV",""
"de-CH","BE","2024-03-29","Karfreitag","RV",""
"de-CH","BL","2024-03-29","Karfreitag","RV",""
"de-CH","BS","2024-03-29","Karfreitag","RV",""
"de-CH","FR","2024-03-29","Karfreitag","RV",""
"de-CH","GE","2024-03-29","Karfreitag","RV",""
"de-CH","GL","2024-03-29","Karfreitag","RV",""
"de-CH","GR","2024-03-29","Karfreitag","RV",""
"de-CH","JU","2024-03-29","Karfreitag","RV",""
"de-CH","LU","2024-03-29","Karfreitag","RV",""
"de-CH","NE","2024-03-29","Karfreitag","RV",""
"de-CH","NW","2024-03-29","Karfreitag","RV",""
"de-CH","OW","2024-03-29","Karfreitag","RV",""
"de-CH","SG","2024-03-29","Karfreitag","RV",""
"de-CH","SH","2024-03-29","Karfreitag","RV",""
"de-CH","SO","2024-03-29","Karfreitag","RV",""
"de-CH","SZ","2024-03-29","Karfreitag","RV",""
"de-CH","TG","2024-03-29","Karfreitag","RV",""
"de-CH","UR","2024-03-29","Karfreitag","RV",""
"de-CH","VD","2024-03-29","Karfreitag","RV",""
"de-CH","ZG","2024-03-29","Karfreitag","RV",""
"de-CH","ZH","2024-03-29","Karfreitag","RV",""
"de-CH","","2024-03-31","Ostersonntag","NRV",""
"de-CH","AI","2024-04-01","Ostermontag","RV",""
"de-CH","AR","2024-04-01","Ostermontag","RV",""
"de-CH","BE","2024-04-01","Ostermontag","RV",""
"de-CH","BL","2024-04-01","Ostermontag","RV",""
"de-CH","BS","2024-04-01","Ostermontag","RV",""
"de-CH","GE","2024-04-01","Ostermontag","RV",""
"de-CH","GL","2024-04-01","Ostermontag","RV",""
"de-CH","GR","2024-04-01","Ostermontag","RV",""
"de-CH","JU","2024-04-01","Ostermontag","RV",""
"de-CH","SG","2024-04-01","Ostermontag","RV",""
"de-CH","SH","2024-04-01","Ostermontag","RV",""
"de-CH","SZ","2024-04-01","Ostermontag","RV",""
"de-CH","TG","2024-04-01","Ostermontag","RV",""
"de-CH","TI","2024-04-01","Ostermontag","RV",""
"de-CH","UR","2024-04-01","Ostermontag","RV",""
"de-CH","VD","2024-04-01","Ostermontag","RV",""
"de-CH","ZH","2024-04-01","Ostermontag","RV",""
"de-CH","BL","2024-05-01","Tag der Arbeit","F",""
"de-CH","BS","2024-05-01","Tag der Arbeit","F",""
"de-CH","GR","2024-05-01","Tag der Arbeit","F",""
"de-CH","NE","2024-05-01","Tag der Arbeit","F",""
"de-CH","SH","2024-05-01","Tag der Arbeit","F",""
"de-CH","TG","2024-05-01","Tag der Arbeit","F",""
"de-CH","TI","2024-05-01","Tag der Arbeit","F",""
"de-CH","ZH","2024-05-01","Tag der Arbeit","F",""
"de-CH","","2024-05-09","Auffahrt","NRV",""
"de-CH","","2024-05-19","Pfingstsonntag","NRV",""
"de-CH","AI","2024-05-20","Pfingstmontag","RV",""
"de-CH","AR","2024-05-20","Pfingstmontag","RV",""
