"locale","region","date","description","type","notes"
"de-DE","","2016-01-01","Neujahr","NF",""
"de-DE","BW","2016-01-06","Heilige drei Könige","RF",""
"de-DE","BY","2016-01-06","Heilige drei Könige","RF",""
"de-DE","ST","2016-01-06","Heilige drei Könige","RF",""
"de-DE","","2016-03-25","Karfreitag","NRV",""
"de-DE","","2016-03-27","Ostern","NRV",""
"de-DE","","2016-03-28","Ostermontag","NRV",""
"de-DE","","2016-05-01","Erster Maifeiertag","NF",""
"de-DE","","2016-05-05","Christi Himmelfahrt","NRV",""
"de-DE","","2016-05-15","Pfingstsonntag","NRV",""
"de-DE","","2016-05-16","Pfingstmontag","NRV",""
"de-DE","BW","2016-05-26","Fronleichnam","RV",""
"de-DE","BY","2016-05-26","Fronleichnam","RV",""
"de-DE","HE","2016-05-26","Fronleichnam","RV",""
"de-DE","NW","2016-05-26","Fronleichnam","RV",""
"de-DE","RP","2016-05-26","Fronleichnam","RV",""
"de-DE","SL","2016-05-26","Fronleichnam","RV",""
"de-DE","SL","2016-08-15","Mariä Himmelfahrt","RF",""
"de-DE","","2016-10-03","Tag der Deutschen Einheit","NRF",""
"de-DE","BB","2016-10-31","Reformationstag","RF",""
"de-DE","MV","2016-10-31","Reformationstag","RF",""
"de-DE","SN","2016-10-31","Reformationstag","RF",""
"de-DE","ST","2016-10-31","Reformationstag","RF",""
"de-DE","TH","2016-10-31","Reformationstag","RF",""
"de-DE","BW","2016-11-01","Allerheiligen","RF",""
"de-DE","BY","2016-11-01","Allerheiligen","RF",""
"de-DE","NW","2016-11-01","Allerheiligen","RF",""
"de-DE","RP","2016-11-01","Allerheiligen","RF",""
"de-DE","SL","2016-11-01","Allerheiligen","RF",""
"de-DE","SN","2016-11-16","Buß- und Bettag","RV",""
"de-DE","","2016-12-24","Heilig Abend","NRF",""
"de-DE","","2016-12-25","Weihnachtstag","NRF",""
"de-DE","","2016-12-26","Zweiter Weihnachtstag","NRF",""
"de-DE","","2016-12-31","Silvester","NF",""
