"locale","region","date","description","type","notes"
"de-LU","","2018-01-01","Neujahr","NF",""
"de-LU","","2018-04-01","Ostern","NF",""
"de-LU","","2018-04-02","Ostermontag","NF",""
"de-LU","","2018-05-01","1. Mai","NF",""
"de-LU","","2018-05-10","Christi Himmelfahrt","NF",""
"de-LU","","2018-05-20","Pfingsten","NF",""
"de-LU","","2018-05-21","Pfingstmontag","NF",""
"de-LU","","2018-06-23","Nationalfeiertag","NF",""
"de-LU","","2018-08-15","Mariä Himmelfahrt","NRF",""
"de-LU","","2018-11-01","Allerheiligen","NRF",""
"de-LU","","2018-12-25","Weihnachten","NRF",""
"de-LU","","2018-12-26","2. Weihnachtsfeiertag","NRF",""
