"locale","region","date","description","type","notes"
"el-GR","","2016-01-01","Πρωτοχρονιά","NF",""
"el-GR","","2016-01-06","Θεοφάνεια","NRF",""
"el-GR","","2016-03-14","Καθαρά Δευτέρα","NRV",""
"el-GR","","2016-03-25","Ευαγγελισμός της Θεοτόκου και Εθνική Ημέρα Ανεξαρτησίας της Ελλάδας","NF",""
"el-GR","","2016-04-29","Μεγάλη Παρασκευή","NRV",""
"el-GR","","2016-04-30","Μεγάλο Σάββατο","NRV",""
"el-GR","","2016-05-01","Πάσχα","NRV",""
"el-GR","","2016-05-02","Δευτέρα του Πάσχα","NRV",""
"el-GR","","2016-05-03","Πρωτομαγιά","NF",""
"el-GR","","2016-06-20","Δευτέρα του Αγίου Πνεύματος","NRV",""
"el-GR","","2016-08-15","Κοίμηση της Θεοτόκου","NRF",""
"el-GR","","2016-10-28","Ημέρα του ΌΧΙ","NF",""
"el-GR","","2016-12-25","Χριστούγεννα","NRF",""
"el-GR","","2016-12-26","Επόμενη ημέρα Χριστουγέννων","NRF",""
