"locale","region","date","description","type","notes"
"en-GB","","2027-01-01","New Year's Day","NF",""
"en-GB","","2027-03-26","Good Friday","NRV",""
"en-GB","","2027-03-29","Easter Monday","NRV",""
"en-GB","","2027-05-03","Early May Bank Holiday","NV",""
"en-GB","","2027-05-31","Spring Bank Holiday","NV",""
"en-GB","","2027-08-30","August Bank Holiday","NV",""
"en-GB","","2027-12-25","Christmas Day","NRF",""
"en-GB","","2027-12-26","Boxing Day","NF",""
"en-GB","","2027-12-27","Christmas Day (observed)","NV",""
"en-GB","","2027-12-28","Boxing Day (observed)","NV",""
