"locale","region","date","description","type","notes"
"en-LU","","2019-01-01","New Year","NF",""
"en-LU","","2019-04-21","Easter","NF",""
"en-LU","","2019-04-22","Easter Monday","NF",""
"en-LU","","2019-05-01","Mayday","NF",""
"en-LU","","2019-05-09","Europe Day","NF",""
"en-LU","","2019-05-30","Ascension Day","NF",""
"en-LU","","2019-06-09","Pentecost","NF",""
"en-LU","","2019-06-10","Whit Monday","NF",""
"en-LU","","2019-06-23","National Day","NF",""
"en-LU","","2019-08-15","Assumption","NRF",""
"en-LU","","2019-11-01","All Saints","NRF",""
"en-LU","","2019-12-25","Christmas","NRF",""
"en-LU","","2019-12-26","Boxing Day","NRF",""
