"locale","region","date","description","type","notes"
"en-NZ","","2023-01-01","New Year's Day","NF",""
"en-NZ","","2023-01-02","New Year's Day (observed)","NV",""
"en-NZ","","2023-01-03","Day after New Year's Day","NV",""
"en-NZ","","2023-02-06","Waitangi Day","NF",""
"en-NZ","","2023-04-07","Good Friday","NRV",""
"en-NZ","","2023-04-10","Easter Monday","NRV",""
"en-NZ","","2023-04-25","ANZAC Day","NF",""
"en-NZ","","2023-06-05","Queen's Birthday","NV",""
"en-NZ","","2023-10-23","Labour Day","NV",""
"en-NZ","","2023-12-25","Christmas Day","NRF",""
"en-NZ","","2023-12-26","Boxing Day","NF",""
