"locale","region","date","description","type","notes"
"en-SG","","2020-01-01","New Year's Day","NF",""
"en-SG","","2020-01-25","Chinese New Year","NRV",""
"en-SG","","2020-01-26","Chinese New Year (Second Day)","NRV",""
"en-SG","","2020-01-27","Chinese New Year (in lieu)","NRV",""
"en-SG","","2020-04-10","Good Friday","NRV",""
"en-SG","","2020-05-01","Labour Day","NF",""
"en-SG","","2020-05-07","Vesak Day","NRV",""
"en-SG","","2020-05-24","Hari Raya Puasa","NRV",""
"en-SG","","2020-05-25","Hari Raya Puasa (in lieu)","NRV",""
"en-SG","","2020-07-10","General Election","NF",""
"en-SG","","2020-07-31","Hari Raya Haji","NRV",""
"en-SG","","2020-08-09","National Day","NF",""
"en-SG","","2020-08-10","National Day (in lieu)","NF",""
"en-SG","","2020-11-14","Deepavali","NRV",""
"en-SG","","2020-12-25","Christmas Day","NRF",""
