"locale","region","date","description","type","notes"
"en-US","","2025-01-01","New Year's Day","NF",""
"en-US","","2025-01-20","Birthday of Martin Luther King, Jr.","NV",""
"en-US","","2025-02-17","Washington's Birthday","NV",""
"en-US","MA","2025-04-21","Patriots' Day","V",""
"en-US","ME","2025-04-21","Patriots' Day","V",""
"en-US","","2025-05-26","Memorial Day","NV",""
"en-US","","2025-06-19","Juneteenth National Independence Day","NF",""
"en-US","","2025-07-04","Independence Day","NF",""
"en-US","","2025-09-01","Labor Day","NV",""
"en-US","","2025-10-13","Columbus Day","NV",""
"en-US","","2025-11-11","Veterans Day","NF",""
"en-US","","2025-11-27","Thanksgiving Day","NV",""
"en-US","","2025-11-28","Day after Thanksgiving","NV",""
"en-US","","2025-12-24","Christmas Eve","NRF",""
"en-US","","2025-12-25","Christmas Day","NRF",""
