"locale","region","date","description","type","notes"
"en-ZA","","2022-01-01","New Year's Day","NF",""
"en-ZA","","2022-03-21","Human Rights Day","NF",""
"en-ZA","","2022-04-15","Good Friday","NRV",""
"en-ZA","","2022-04-18","Family Day","NRV",""
"en-ZA","","2022-04-27","Freedom Day","NF",""
"en-ZA","","2022-05-01","Worker's Day","NF",""
"en-ZA","","2022-05-02","Worker's Day (Supplement)","NF","Supplement holiday"
"en-ZA","","2022-06-16","Youth Day","NF",""
"en-ZA","","2022-08-09","National Women's Day","NF",""
"en-ZA","","2022-09-24","Heritage Day","NF",""
"en-ZA","","2022-12-16","Day of Reconciliation","NF",""
"en-ZA","","2022-12-25","Christmas Day","NF",""
"en-ZA","","2022-12-26","Day of Goodwill","NF",""
