"locale","region","date","description","type","notes"
"es-CO","","2015-01-01","Año Nuevo","NF",""
"es-CO","","2015-01-12","Día de los Reyes Magos","NRV",""
"es-CO","","2015-03-23","Día de San José","NRV",""
"es-CO","","2015-04-02","Jueves Santo","NRV",""
"es-CO","","2015-04-03","Viernes Santo","NRV",""
"es-CO","","2015-04-05","Domingo de Pascua","NRV",""
"es-CO","","2015-05-01","Día del Trabajo","NF",""
"es-CO","","2015-05-18","La Ascensión del Señor","NRV",""
"es-CO","","2015-06-08","Corpus Christi","NRV",""
"es-CO","","2015-06-15","El Sagrado Corazón de Jesús","NRV",""
"es-CO","","2015-06-29","San Pedro y San Pablo","NRV",""
"es-CO","","2015-07-20","Grito de Independencia","NF",""
"es-CO","","2015-08-07","Batalla de Boyacá","NF",""
"es-CO","","2015-08-17","Asunción de la Virgen","NRV",""
"es-CO","","2015-10-12","Día de la Raza","NV",""
"es-CO","","2015-11-02","Todos los Santos","NRV",""
"es-CO","","2015-11-16","Independencia de Cartagena","NV",""
"es-CO","","2015-12-08","Inmaculada Concepción","NRF",""
"es-CO","","2015-12-25","Navidad","NRF",""
