"locale","region","date","description","type","notes"
"es-ES","","2023-01-01","Año Nuevo","NF",""
"es-ES","","2023-01-06","Epifanía del Señor","NRF",""
"es-ES","AN","2023-02-28","Día de Andalucía","F",""
"es-ES","","2023-04-07","Viernes Santo","NRV",""
"es-ES","","2023-04-09","Pascua","NRV",""
"es-ES","CL","2023-04-23","Fiesta de Castilla y León","F",""
"es-ES","AR","2023-04-23","San Jorge / Día de Aragón","RF",""
"es-ES","","2023-05-01","Fiesta del Trabajo","NF",""
"es-ES","MD","2023-05-02","Fiesta de la Comunidad de Madrid","F",""
"es-ES","GA","2023-05-17","Día de las Letras Gallegas","F",""
"es-ES","CN","2023-05-30","Día de Canarias","F",""
"es-ES","CM","2023-05-31","Día de Castilla-La Mancha","F",""
"es-ES","MC","2023-06-09","Día de la Región de Murcia","F",""
"es-ES","RI","2023-06-09","Día de La Rioja","F",""
"es-ES","GA","2023-07-25","Santiago Apóstol / Día Nacional de Galicia","RF",""
"es-ES","","2023-08-15","Asunción de la Virgen","NRF",""
"es-ES","AS","2023-09-08","Día de Asturias","F",""
"es-ES","EX","2023-09-08","Día de Extremadura","F",""
"es-ES","CT","2023-09-11","Fiesta Nacional de Cataluña","F",""
"es-ES","VC","2023-10-09","Día de la Comunitat Valenciana","F",""
"es-ES","","2023-10-12","Fiesta Nacional de España","NF",""
"es-ES","","2023-11-01","Todos los Santos","NRF",""
"es-ES","","2023-12-06","Día de la Constitución Española","NF",""
"es-ES","","2023-12-08","Inmaculada Concepción","NRF",""
"es-ES","","2023-12-25","Natividad del Señor","NRF",""
