"locale","region","date","description","type","notes"
"et-EE","","2012-01-01","Uusaasta","NF",""
"et-EE","","2012-02-24","Iseseisvuspäev, Eesti Vabariigi aastapäev","NF",""
"et-EE","","2012-04-06","Suur reede","NRV",""
"et-EE","","2012-04-08","Ülestõusmispühade 1. püha","NRV",""
"et-EE","","2012-05-01","Kevadpüha","NF",""
"et-EE","","2012-05-27","Nelipühade 1. püha","NRV",""
"et-EE","","2012-06-23","Võidupüha","NF",""
"et-EE","","2012-06-24","Jaanipäev","NF",""
"et-EE","","2012-08-20","Taasiseseisvumispäev","NF",""
"et-EE","","2012-12-24","Jõululaupäev","NF",""
"et-EE","","2012-12-25","Esimene jõulupüha","NF",""
"et-EE","","2012-12-26","Teine jõulupüha","NF",""
