"locale","region","date","description","type","notes"
"fi-FI","","2022-01-01","Uudenvuodenpäivä","NF",""
"fi-FI","","2022-01-06","Loppiainen","NRF",""
"fi-FI","","2022-04-15","Pitkäperjantai","NRV",""
"fi-FI","","2022-04-17","Pääsiäispäivä","NRV",""
"fi-FI","","2022-04-18","2. pääsiäispäivä","NRV",""
"fi-FI","","2022-05-01","Vappu","NF",""
"fi-FI","","2022-05-26","Helatorstai","NRV",""
"fi-FI","","2022-06-05","Helluntaipäivä","NRV",""
"fi-FI","","2022-06-25","Juhannuspäivä","NRV",""
"fi-FI","","2022-11-05","Pyhäinpäivä","NRV",""
"fi-FI","","2022-12-06","Itsenäisyyspäivä","NF",""
"fi-FI","","2022-12-25","Joulupäivä","NRF",""
"fi-FI","","2022-12-26","Tapaninpäivä","NRF",""
