"locale","region","date","description","type","notes"
"fr-BE","","2027-01-01","Nouvel An","NF",""
"fr-BE","","2027-03-28","Pâques","NRV",""
"fr-BE","","2027-03-29","Lundi de Pâques","NRV",""
"fr-BE","","2027-05-01","Fête du Travail","NF",""
"fr-BE","","2027-05-06","Ascension","NRV",""
"fr-BE","","2027-05-16","Pentecôte","NRV",""
"fr-BE","","2027-05-17","Lundi de Pentecôte","NRV",""
"fr-BE","","2027-07-21","Fête nationale","NF",""
"fr-BE","","2027-08-15","Assomption","NRF",""
"fr-BE","","2027-11-01","Toussaint","NRF",""
"fr-BE","","2027-11-11","Jour de l'armistice","NF",""
"fr-BE","","2027-12-25","Noël","NRF",""
