"locale","region","date","description","type","notes"
"fr-FR","","2017-01-01","Jour de l'an","NF",""
"fr-FR","","2017-04-17","Lundi de Pâques","NRV",""
"fr-FR","","2017-05-01","Fête du premier mai","NF",""
"fr-FR","","2017-05-08","Armistice 1945","NF",""
"fr-FR","","2017-05-25","Ascension","NRV",""
"fr-FR","","2017-06-04","Pentecôte","NRV",""
"fr-FR","","2017-06-05","Lundi de Pentecôte","NRV",""
"fr-FR","","2017-07-14","Fête nationale","NF",""
"fr-FR","","2017-08-15","Assomption","NRF",""
"fr-FR","","2017-11-01","Toussaint","NRF",""
"fr-FR","","2017-11-11","Armistice 1918","NF",""
"fr-FR","","2017-12-25","Noël","NF",""
