"locale","region","date","description","type","notes"
"fr-LU","","2025-01-01","Nouvel An","NF",""
"fr-LU","","2025-04-20","Pâques","NF",""
"fr-LU","","2025-04-21","Lundi de Pâques","NF",""
"fr-LU","","2025-05-01","Premier Mai","NF",""
"fr-LU","","2025-05-09","Journée de l'Europe","NF",""
"fr-LU","","2025-05-29","Ascension","NF",""
"fr-LU","","2025-06-08","Pentecôte","NF",""
"fr-LU","","2025-06-09","Lundi de Pentecôte","NF",""
"fr-LU","","2025-06-23","Fête nationale","NF",""
"fr-LU","","2025-08-15","Assomption","NRF",""
"fr-LU","","2025-11-01","Toussaint","NRF",""
"fr-LU","","2025-12-25","Noël","NRF",""
"fr-LU","","2025-12-26","Saint Étienne","NRF",""
