"locale","region","date","description","type","notes"
"hr-HR","","2023-01-01","Nova Godina","NF",""
"hr-HR","","2023-01-06","Sveta tri kralja","NRF",""
"hr-HR","","2023-04-09","Uskrs","NRV",""
"hr-HR","","2023-04-10","Uskršnji ponedjeljak","NRV",""
"hr-HR","","2023-05-01","Praznik rada","NF",""
"hr-HR","","2023-05-30","Dan državnosti","NF",""
"hr-HR","","2023-06-08","Tijelovo","NRV",""
"hr-HR","","2023-06-22","Dan antifašističke borbe","NF",""
"hr-HR","","2023-08-05","Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja","NF",""
"hr-HR","","2023-08-15","Velika Gospa","NRF",""
"hr-HR","","2023-11-01","Dan svih svetih","NRF",""
"hr-HR","","2023-11-18","Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na žrtvu Vukovara i Škabrnje","NF",""
"hr-HR","","2023-12-25","Božić","NRF",""
"hr-HR","","2023-12-26","Sveti Stjepan","NRF",""
