"locale","region","date","description","type","notes"
"hu-HU","","2018-01-01","Újév","NF",""
"hu-HU","","2018-03-15","Az 1848-as forradalom ünnepe","NF",""
"hu-HU","","2018-03-16","Munkaszüneti Nap","NF","Swapped with 03-10"
"hu-HU","","2018-03-30","Nagypéntek","NRV",""
"hu-HU","","2018-04-01","Húsvét","NRV",""
"hu-HU","","2018-04-02","Húsvéthétfő","NRV",""
"hu-HU","","2018-04-30","Munkaszüneti Nap","NF","Swapped with 04-21"
"hu-HU","","2018-05-01","A munka ünnepe","NF",""
"hu-HU","","2018-05-20","Pünkösd","NRV",""
"hu-HU","","2018-05-21","Pünkösdhétfő","NRV",""
"hu-HU","","2018-08-20","Az államalapítás ünnepe","NF",""
"hu-HU","","2018-10-22","Munkaszüneti Nap","NF","Swapped with 10-13"
"hu-HU","","2018-10-23","Az 1956-os forradalom ünnepe","NF",""
"hu-HU","","2018-11-01","Mindenszentek","NRF",""
"hu-HU","","2018-11-02","Munkaszüneti Nap","NF","Swapped with 11-10"
"hu-HU","","2018-12-24","Munkaszüneti Nap","NF","Swapped with 12-01"
"hu-HU","","2018-12-25","Karácsony","NRF",""
"hu-HU","","2018-12-26","Karácsony","NRF",""
"hu-HU","","2018-12-31","Munkaszüneti Nap","NF","Swapped with 12-15"
