"locale","region","date","description","type","notes"
"is-IS","","2023-01-01","Nýársdagur","NRF",""
"is-IS","","2023-04-06","Skírdagur","NRV",""
"is-IS","","2023-04-07","Föstudagurinn langi","NRV",""
"is-IS","","2023-04-09","Páskadagur","NRV",""
"is-IS","","2023-04-10","Annar dagur páska","NRV",""
"is-IS","","2023-04-20","Sumardagurinn fyrsti","NV",""
"is-IS","","2023-05-01","Verkalýðsdagurinn","NF",""
"is-IS","","2023-05-18","Uppstigningardagur","NRV",""
"is-IS","","2023-05-28","Hvítasunnudagur","NRV",""
"is-IS","","2023-05-29","Annar dagur hvítasunnu","NRV",""
"is-IS","","2023-06-17","Þjóðhátíðardagurinn","NF",""
"is-IS","","2023-08-07","Frídagur verslunarmanna","NV",""
"is-IS","","2023-12-24","Aðfangadagur jóla","NRF","Holiday from 13:00"
"is-IS","","2023-12-25","Jóladagur","NRF",""
"is-IS","","2023-12-26","Annar dagur jóla","NRF",""
"is-IS","","2023-12-31","Gamlársdagur","NF","Holiday from 13:00"
