"locale","region","date","description","type","notes"
"nb-NO","","2020-01-01","Nyttårsdag","NF",""
"nb-NO","","2020-02-23","Fastelavn","NRV",""
"nb-NO","","2020-04-05","Palmesøndag","NRV",""
"nb-NO","","2020-04-09","Skjærtorsdag","NRV",""
"nb-NO","","2020-04-10","Langfredag","NRV",""
"nb-NO","","2020-04-12","Påskedag","NRV",""
"nb-NO","","2020-04-13","Påskedag","NRV",""
"nb-NO","","2020-05-01","Offentlig Høytidsdag","NF",""
"nb-NO","","2020-05-08","Frigjøringsdag 1945","NF",""
"nb-NO","","2020-05-17","Grunnlovsdag","NF",""
"nb-NO","","2020-05-21","Kristi Himmelfartsdag","NRV",""
"nb-NO","","2020-05-31","Pinsedag","NRV",""
"nb-NO","","2020-06-01","Pinsedag","NRV",""
"nb-NO","","2020-12-24","Julaften","NRF",""
"nb-NO","","2020-12-25","Juledag","NRF",""
"nb-NO","","2020-12-26","Juledag","NRF",""
"nb-NO","","2020-12-31","Nyttårsaften","NF",""
