"locale","region","date","description","type","notes"
"nl-BE","","2020-01-01","Nieuwjaar","NF",""
"nl-BE","","2020-04-12","Pasen","NRV",""
"nl-BE","","2020-04-13","Paasmaandag","NRV",""
"nl-BE","","2020-05-01","Dag van de arbeid","NF",""
"nl-BE","","2020-05-21","Onze Lieve Heer hemelvaart","NRV",""
"nl-BE","","2020-05-31","Pinksteren","NRV",""
"nl-BE","","2020-06-01","Pinkstermaandag","NRV",""
"nl-BE","","2020-07-21","Nationale feestdag","NF",""
"nl-BE","","2020-08-15","Onze Lieve Vrouw hemelvaart","NRF",""
"nl-BE","","2020-11-01","Allerheiligen","NRF",""
"nl-BE","","2020-11-11","Wapenstilstand","NF",""
"nl-BE","","2020-12-25","Kerstmis","NRF",""
