"locale","region","date","description","type","notes"
"nl-NL","","2020-01-01","Nieuwjaarsdag","NF",""
"nl-NL","","2020-04-10","Goede Vrijdag","NRV",""
"nl-NL","","2020-04-12","Eerste Paasdag","NRV",""
"nl-NL","","2020-04-13","Tweede Paasdag","NRV",""
"nl-NL","","2020-04-27","Koningsdag","NV",""
"nl-NL","","2020-05-04","Dodenherdenking","NF",""
"nl-NL","","2020-05-05","Bevrijdingsdag","NF",""
"nl-NL","","2020-05-21","Hemelvaartsdag","NRV",""
"nl-NL","","2020-05-31","Eerste Pinksterdag","NRV",""
"nl-NL","","2020-06-01","Tweede Pinksterdag","NRV",""
"nl-NL","","2020-12-05","Sinterklaas","NRF",""
"nl-NL","","2020-12-15","Koninkrijksdag","NV",""
"nl-NL","","2020-12-25","Eerste Kerstdag","NRF",""
"nl-NL","","2020-12-26","Tweede Kerstdag","NRF",""
