"locale","region","date","description","type","notes"
"pl-PL","","2026-01-01","Nowy Rok","NF",""
"pl-PL","","2026-01-06","Trzech Króli","NRF",""
"pl-PL","","2026-04-05","Wielkanoc","NRV",""
"pl-PL","","2026-04-06","Poniedziałek Wielkanocny","NRV",""
"pl-PL","","2026-05-01","Święto Pracy","NF",""
"pl-PL","","2026-05-03","Święto Konstytucji Trzeciego Maja","NF",""
"pl-PL","","2026-05-24","Zielone Świątki","NRV",""
"pl-PL","","2026-06-04","Boże Ciało","NRV",""
"pl-PL","","2026-08-15","Wniebowzięcie Najświętszej Maryi Panny","NRF",""
"pl-PL","","2026-11-01","Wszystkich Świętych","NRF",""
"pl-PL","","2026-11-11","Narodowe Święto Niepodległości","NF",""
"pl-PL","","2026-12-25","Boże Narodzenie (pierwszy dzień)","NRF",""
"pl-PL","","2026-12-26","Boże Narodzenie (drugi dzień)","NRF",""
