"locale","region","date","description","type","notes"
"pt-BR","","2016-01-01","Confraternização Universal","NF",""
"pt-BR","","2016-02-08","Carnaval","NRV",""
"pt-BR","","2016-02-09","Carnaval","NRV",""
"pt-BR","","2016-03-25","Sexta-feira Santa","NRV",""
"pt-BR","","2016-03-27","Páscoa","NRV",""
"pt-BR","","2016-04-21","Tiradentes","NF",""
"pt-BR","","2016-05-01","Dia do Trabalho","NF",""
"pt-BR","","2016-05-26","Corpus Christi","NRV",""
"pt-BR","","2016-09-07","Independência do Brasil","NF",""
"pt-BR","","2016-10-12","Nossa Senhora Aparecida","NRF",""
"pt-BR","","2016-11-02","Finados","NRF",""
"pt-BR","","2016-11-15","Proclamação da República","NF",""
"pt-BR","","2016-12-25","Natal","NRF",""
