"locale","region","date","description","type","notes"
"pt-PT","","2024-01-01","Ano Novo","NF",""
"pt-PT","","2024-02-13","Carnaval","NRV",""
"pt-PT","","2024-03-29","Sexta-feira Santa","NRV",""
"pt-PT","","2024-03-31","Páscoa","NRV",""
"pt-PT","","2024-04-25","Dia da Liberdade","NF",""
"pt-PT","","2024-05-01","Dia do Trabalhador","NF",""
"pt-PT","","2024-05-30","Corpo de Deus","NRV",""
"pt-PT","","2024-06-10","Dia de Portugal","NF",""
"pt-PT","","2024-08-15","Assunção de Nossa Senhora","NF",""
"pt-PT","","2024-10-05","Implantação da República","NF",""
"pt-PT","","2024-11-01","Dia de Todos os Santos","NF",""
"pt-PT","","2024-12-01","Restauração da Independência","NF",""
"pt-PT","","2024-12-08","Imaculada Conceição","NF",""
"pt-PT","","2024-12-25","Natal","NF",""
