"locale","region","date","description","type","notes"
"sv-FI","","2023-01-01","Nyårsdagen","NF",""
"sv-FI","","2023-01-06","Trettondedagen","NRF",""
"sv-FI","","2023-04-07","Långfredagen","NRV",""
"sv-FI","","2023-04-09","Påskdagen","NRV",""
"sv-FI","","2023-04-10","Annandag påsk","NRV",""
"sv-FI","","2023-05-01","Första maj","NF",""
"sv-FI","","2023-05-18","Kristi himmelfärdsdag","NRV",""
"sv-FI","","2023-05-28","Pingst","NRV",""
"sv-FI","","2023-06-24","Midsommardagen","NRV",""
"sv-FI","","2023-11-04","Alla helgons dag","NRV",""
"sv-FI","","2023-12-06","Självständighetsdagen","NF",""
"sv-FI","","2023-12-25","Juldagen","NRF",""
"sv-FI","","2023-12-26","Annandag jul","NRF",""
