"locale","region","date","description","type","notes"
"tr-TR","","2019-01-01","Yılbaşı","NF",""
"tr-TR","","2019-04-23","Ulusal Egemenlik ve Çocuk Bayramı","NF",""
"tr-TR","","2019-05-01","Emek ve Dayanışma Günü","NF",""
"tr-TR","","2019-05-19","Atatürk'ü Anma, Gençlik ve Spor Bayramı","NF",""
"tr-TR","","2019-06-05","Ramazan Bayramı (1. Gün)","NRV",""
"tr-TR","","2019-06-06","Ramazan Bayramı (2. Gün)","NRV",""
"tr-TR","","2019-06-07","Ramazan Bayramı (3. Gün)","NRV",""
"tr-TR","","2019-07-15","Demokrasi ve Milli Birlik Günü","NF",""
"tr-TR","","2019-08-11","Kurban Bayramı (1. Gün)","NRV",""
"tr-TR","","2019-08-12","Kurban Bayramı (2. Gün)","NRV",""
"tr-TR","","2019-08-13","Kurban Bayramı (3. Gün)","NRV",""
"tr-TR","","2019-08-14","Kurban Bayramı (4. Gün)","NRV",""
"tr-TR","","2019-08-30","Zafer Bayramı","NF",""
"tr-TR","","2019-10-29","Cumhuriyet Bayramı","NF",""
