"locale","region","date","description","type","notes"
"zh-TW","","2021-01-01","元旦","NF",""
"zh-TW","","2021-02-10","農曆春節","NV",""
"zh-TW","","2021-02-11","農曆春節","NV",""
"zh-TW","","2021-02-12","農曆春節","NV",""
"zh-TW","","2021-02-15","農曆春節","NV",""
"zh-TW","","2021-02-16","農曆春節","NV",""
"zh-TW","","2021-03-01","228紀念日補假","NV",""
"zh-TW","","2021-04-02","清明節補假","NV",""
"zh-TW","","2021-04-05","兒童節補假","NV",""
"zh-TW","","2021-06-14","端午節","NV",""
"zh-TW","","2021-09-20","中秋節彈性放假","NV",""
"zh-TW","","2021-09-21","中秋節","NV",""
"zh-TW","","2021-10-11","雙十節補假","NV",""
