"locale","region","date","description","type","notes"
"da-DK","","2012-01-01","Nytårsdag","NF",""
"da-DK","","2012-04-05","Skærtorsdag","NRV",""
"da-DK","","2012-04-06","Langfredag","NRV",""
"da-DK","","2012-04-08","Påskedag","NRV",""
"da-DK","","2012-04-09","Anden påskedag","NRV",""
"da-DK","","2012-05-04","Store bededag","NRV",""
"da-DK","","2012-05-17","Kristi himmelfartsdag","NRV",""
"da-DK","","2012-05-27","Pinsedag","NRV",""
"da-DK","","2012-05-28","Anden pinsedag","NRV",""
"da-DK","","2012-12-25","Juledag","NRF",""
"da-DK","","2012-12-26","Anden juledag","NRF",""
