"locale","region","date","description","type","notes"
"de-BE","","2020-01-01","Neujahr","NF",""
"de-BE","","2020-04-12","Ostern","NRV",""
"de-BE","","2020-04-13","Ostermontag","NRV",""
"de-BE","","2020-05-01","Tag der Arbeit","NF",""
"de-BE","","2020-05-21","Christi Himmelfahrt","NRV",""
"de-BE","","2020-05-31","Pfingsten","NRV",""
"de-BE","","2020-06-01","Pfingstmontag","NRV",""
"de-BE","","2020-07-21","Nationalfeiertag","NF",""
"de-BE","","2020-08-15","Mariä Himmelfahrt","NRF",""
"de-BE","","2020-11-01","Allerheiligen","NRF",""
"de-BE","","2020-11-11","Waffenstillstand","NF",""
"de-BE","","2020-12-25","Weihnacht","NRF",""

