"locale","region","date","description","type","notes"
"de-CH","","2014-01-01","Neujahrstag","NF",""
"de-CH","BE","2014-01-02","Berchtoldstag","F",""
"de-CH","JU","2014-01-02","Berchtoldstag","F",""
"de-CH","TG","2014-01-02","Berchtoldstag","F",""
"de-CH","VD","2014-01-02","Berchtoldstag","F",""
"de-CH","SZ","2014-01-06","Heilige Drei Könige","RF",""
"de-CH","TI","2014-01-06","Heilige Drei Könige","RF",""
"de-CH","UR","2014-01-06","Heilige Drei Könige","RF",""
"de-CH","NW","2014-03-19","Josefstag","RF",""
"de-CH","SZ","2014-03-19","Josefstag","RF",""
"de-CH","TI","2014-03-19","Josefstag","RF",""
"de-CH","UR","2014-03-19","Josefstag","RF",""
"de-CH","VS","2014-03-19","Josefstag","RF",""
"de-CH","AG","2014-04-18","Karfreitag","NV",""
"de-CH","AI","2014-04-18","Karfreitag","NV",""
"de-CH","AR","2014-04-18","Karfreitag","NV",""
"de-CH","BE","2014-04-18","Karfreitag","NV",""
"de-CH","BL","2014-04-18","Karfreitag","NV",""
"de-CH","BS","2014-04-18","Karfreitag","NV",""
"de-CH","FR","2014-04-18","Karfreitag","NV",""
"de-CH","GE","2014-04-18","Karfreitag","NV",""
"de-CH","GL","2014-04-18","Karfreitag","NV",""
"de-CH","GR","2014-04-18","Karfreitag","NV",""
"de-CH","JU","2014-04-18","Karfreitag","NV",""
"de-CH","LU","2014-04-18","Karfreitag","NV",""
"de-CH","NE","2014-04-18","Karfreitag","NV",""
"de-CH","NW","2014-04-18","Karfreitag","NV",""
"de-CH","OW","2014-04-18","Karfreitag","NV",""
"de-CH","SG","2014-04-18","Karfreitag","NV",""
"de-CH","SH","2014-04-18","Karfreitag","NV",""
"de-CH","SO","2014-04-18","Karfreitag","NV",""
"de-CH","SZ","2014-04-18","Karfreitag","NV",""
"de-CH","TG","2014-04-18","Karfreitag","NV",""
"de-CH","UR","2014-04-18","Karfreitag","NV",""
"de-CH","VD","2014-04-18","Karfreitag","NV",""
"de-CH","ZG","2014-04-18","Karfreitag","NV",""
"de-CH","ZH","2014-04-18","Karfreitag","NV",""
"de-CH","","2014-04-20","Ostersonntag","NV",""
"de-CH","AI","2014-04-21","Ostermontag","NV",""
"de-CH","AR","2014-04-21","Ostermontag","NV",""
"de-CH","BE","2014-04-21","Ostermontag","NV",""
"de-CH","BL","2014-04-21","Ostermontag","NV",""
"de-CH","BS","2014-04-21","Ostermontag","NV",""
"de-CH","GE","2014-04-21","Ostermontag","NV",""
"de-CH","GL","2014-04-21","Ostermontag","NV",""
"de-CH","GR","2014-04-21","Ostermontag","NV",""
"de-CH","JU","2014-04-21","Ostermontag","NV",""
"de-CH","SG","2014-04-21","Ostermontag","NV",""
"de-CH","SH","2014-04-21","Ostermontag","NV",""
"de-CH","SZ","2014-04-21","Ostermontag","NV",""
"de-CH","TG","2014-04-21","Ostermontag","NV",""
"de-CH","TI","2014-04-21","Ostermontag","NV",""
"de-CH","UR","2014-04-21","Ostermontag","NV",""
