"locale","region","date","description","type","notes"
"de-DE","","2013-01-01","Neujahr","NF",""
"de-DE","BW","2013-01-06","Heilige drei Könige","NRF",""
"de-DE","BY","2013-01-06","Heilige drei Könige","NRF",""
"de-DE","ST","2013-01-06","Heilige drei Könige","NRF",""
"de-DE","","2013-03-29","Karfreitag","NRV",""
"de-DE","","2013-03-31","Ostern","NRV",""
"de-DE","","2013-04-01","Ostermontag","NRV",""
"de-DE","","2013-05-01","Erster Maifeiertag","NF",""
"de-DE","","2013-05-09","Christi Himmelfahrt","NRV",""
"de-DE","","2013-05-19","Pfingstsonntag","NRV",""
"de-DE","","2013-05-20","Pfingstmontag","NRV",""
"de-DE","BW","2013-05-30","Fronleichnam","NRV",""
"de-DE","BY","2013-05-30","Fronleichnam","NRV",""
"de-DE","HE","2013-05-30","Fronleichnam","NRV",""
"de-DE","NRW","2013-05-30","Fronleichnam","NRV",""
"de-DE","RP","2013-05-30","Fronleichnam","NRV",""
"de-DE","SL","2013-05-30","Fronleichnam","NRV",""
"de-DE","SL","2013-08-15","Mariä Himmelfahrt","NRF",""
"de-DE","","2013-10-03","Tag der Deutschen Einheit","NRF",""
"de-DE","BB","2013-10-31","Reformationstag","NRF",""
"de-DE","MV","2013-10-31","Reformationstag","NRF",""
"de-DE","SN","2013-10-31","Reformationstag","NRF",""
"de-DE","ST","2013-10-31","Reformationstag","NRF",""
"de-DE","TH","2013-10-31","Reformationstag","NRF",""
"de-DE","BW","2013-11-01","Allerheiligen","NRF",""
"de-DE","BY","2013-11-01","Allerheiligen","NRF",""
"de-DE","NRW","2013-11-01","Allerheiligen","NRF",""
"de-DE","RP","2013-11-01","Allerheiligen","NRF",""
"de-DE","SL","2013-11-01","Allerheiligen","NRF",""
"de-DE","SN","2013-11-20","Buß- und Bettag","NR",""
"de-DE","","2013-12-24","Heilig Abend","NRF",""
"de-DE","","2013-12-25","Weihnachtstag","NRF",""
"de-DE","","2013-12-26","Zweiter Weihnachtstag","NRF",""
"de-DE","","2013-12-31","Silvester","NF",""
