"locale","region","date","description","type","notes"
"el-GR","","2014-01-01","Πρωτοχρονιά","NF",""
"el-GR","","2014-01-06","Θεοφάνεια","NRF",""
"el-GR","","2014-03-03","Καθαρά Δευτέρα","NRV",""
"el-GR","","2014-03-25","Ευαγγελισμός της Θεοτόκου και Εθνική Ημέρα Ανεξαρτησίας της Ελλάδας","NF",""
"el-GR","","2014-04-18","Πρωτομαγιά","NF",""
"el-GR","","2014-04-19","Μεγάλη Παρασκευή","NRV",""
"el-GR","","2014-04-20","Μεγάλο Σάββατο","NRV",""
"el-GR","","2014-04-21","Πάσχα","NRV",""
"el-GR","","2014-04-22","Δευτέρα του Πάσχα","NRV",""
"el-GR","","2014-06-09","Δευτέρα του Αγίου Πνεύματος","NRV",""
"el-GR","","2014-08-15","Κοίμηση της Θεοτόκου","NRF",""
"el-GR","","2014-10-28","Ημέρα του ΌΧΙ","NF",""
"el-GR","","2014-12-25","Χριστούγεννα","NRF",""
"el-GR","","2014-12-26","Επόμενη ημέρα Χριστουγέννων","NRF",""
