"locale","region","date","description","type","notes"
"en-AU","","2016-01-01","New Year's Day","NF",""
"en-AU","","2016-01-26","Australia Day","NF",""
"en-AU","TAS","2016-02-08","Royal Hobart Regatta","V",""
"en-AU","WA","2016-03-07","Labour Day","V",""
"en-AU","VIC","2016-03-14","Labour Day","V",""
"en-AU","ACT","2016-03-14","Canberra Day","V",""
"en-AU","TAS","2016-03-14","Eight Hours Day","V",""
"en-AU","","2016-03-25","Good Friday","NRV",""
"en-AU","QLD","2016-03-26","Easter Saturday","RV",""
"en-AU","SA","2016-03-26","Easter Saturday","RV",""
"en-AU","NSW","2016-03-26","Easter Saturday","RV",""
"en-AU","VIC","2016-03-26","Easter Saturday","RV",""
"en-AU","NT","2016-03-26","Easter Saturday","RV",""
"en-AU","","2016-03-27","Easter Monday","NRV",""
"en-AU","QLD","2016-04-25","Anzac Day","F",""
"en-AU","SA","2016-04-25","Anzac Day","F",""
"en-AU","NSW","2016-04-25","Anzac Day","F",""
"en-AU","WA","2016-04-25","Anzac Day","F",""
"en-AU","VIC","2016-04-25","Anzac Day","F",""
"en-AU","TAS","2016-04-25","Anzac Day","F",""
"en-AU","NT","2016-04-25","Anzac Day","F",""
"en-AU","ACT","2016-04-25","Anzac Day","F",""
"en-AU","NT","2016-05-02","May Day","V",""
"en-AU","WA","2016-06-03","Foundation Day","V",""
"en-AU","QLD","2016-06-13","Queen's Birthday","V",""
"en-AU","SA","2016-06-13","Queen's Birthday","V",""
"en-AU","NSW","2016-06-13","Queen's Birthday","V",""
"en-AU","VIC","2016-06-13","Queen's Birthday","V",""
"en-AU","TAS","2016-06-13","Queen's Birthday","V",""
"en-AU","NT","2016-06-13","Queen's Birthday","V",""
"en-AU","ACT","2016-06-13","Queen's Birthday","V",""
"en-AU","NT","2016-08-01","Picnic Day","V",""
"en-AU","NSW","2016-08-01","Bank Holiday","V",""
"en-AU","WA","2016-09-26","Queen's Birthday","V",""
"en-AU","QLD","2016-10-03","Labour Day","V",""
"en-AU","SA","2016-10-03","Labour Day","V",""
"en-AU","NSW","2016-10-03","Labour Day","V",""
"en-AU","ACT","2016-10-03","Labour Day","V",""
"en-AU","TAS","2016-11-07","Recreation Day","V",""
"en-AU","","2016-12-25","Christmas Day","NRF",""
"en-AU","QLD","2016-12-26","Boxing Day","F",""
"en-AU","SA","2016-12-26","Proclamation Day","F",""
"en-AU","NSW","2016-12-26","Boxing Day","F",""
"en-AU","WA","2016-12-26","Boxing Day","F",""
"en-AU","VIC","2016-12-26","Boxing Day","F",""
"en-AU","TAS","2016-12-26","Boxing Day","F",""
"en-AU","NT","2016-12-26","Boxing Day","F",""
"en-AU","ACT","2016-12-26","Boxing Day","F",""
