"locale","region","date","description","type","notes"
"en-CA","","2015-01-01","New Year's Day","NF",""
"en-CA","AB","2015-02-16","Family Day","V",""
"en-CA","ON","2015-02-16","Family Day","V",""
"en-CA","SK","2015-02-16","Family Day","V",""
"en-CA","NB","2015-02-16","Family Day","V",""
"en-CA","MB","2015-02-16","Louis Riel Day","V",""
"en-CA","PE","2015-02-16","Islander Day","V",""
"en-CA","","2015-04-03","Good Friday","NRV",""
"en-CA","","2015-04-06","Easter Monday","RV",""
"en-CA","","2015-05-18","Victoria Day","V",""
"en-CA","","2015-07-01","Canada Day","NF",""
"en-CA","","2015-08-03","First Monday of August","V",""
"en-CA","","2015-09-07","Labour Day","NV",""
"en-CA","","2015-10-12","Thanksgiving Day","V",""
"en-CA","","2015-11-11","Remembrance Day","F",""
"en-CA","","2015-12-25","Christmas Day","NRF",""
"en-CA","","2015-12-26","Boxing Day","NRF",""
