"locale","region","date","description","type","notes"
"en-GB","","2012-01-01","New Year's Day","NF",""
"en-GB","","2012-01-02","New Year's Day Holiday","NV",""
"en-GB","","2012-04-06","Good Friday","NRV",""
"en-GB","","2012-04-09","Easter Monday","NRV",""
"en-GB","","2012-05-07","Early May Bank Holiday","NV",""
"en-GB","","2012-06-04","Spring Bank Holiday","NV",""
"en-GB","","2012-06-05","Queen's Diamond Jubilee","NV",""
"en-GB","","2012-08-27","August Bank Holiday","NV",""
"en-GB","","2012-12-25","Christmas Day","NRF",""
"en-GB","","2012-12-26","Boxing Day","NF",""
