"locale","region","date","description","type","notes"
"en-GL","","2015-01-01","New Year's Day","NF",""
"en-GL","","2015-01-06","Epiphany","NF",""
"en-GL","","2015-04-02","Maundy Thursday","NRV",""
"en-GL","","2015-03-03","Good Friday","NRV",""
"en-GL","","2015-04-06","Easter Monday","NRV",""
"en-GL","","2015-05-01","General Prayer Day","NRV",""
"en-GL","","2015-05-14","Ascension","NRV",""
"en-GL","","2015-05-25","Whit Monday","NRV",""
"en-GL","","2015-06-21","Ullortuneq","NF",""
"en-GL","","2015-12-24","Christmas Eve","NRF",""
"en-GL","","2015-12-25","Christmas Day","NRF",""
"en-GL","","2015-12-26","St Stephen's Day","NRF",""
"en-GL","","2015-12-31","New Year's Eve","NF",""
